#{"t_start": 1764274429.6261473, "env_id": "None"}
r,l,t
0.0,7,0.023026
-17.0,7,0.037314
-3.0,7,0.055931
4.0,7,0.070431
-1.0,7,0.084671
36.0,7,0.10322
23.0,7,0.119411
-15.0,7,0.138036
-18.0,7,0.152218
-11.0,7,0.1663
-22.0,7,0.184828
-7.0,7,0.199381
39.0,7,0.219876
33.0,7,0.234022
15.0,7,0.249914
-21.0,7,0.2685
-2.0,7,0.282642
20.0,7,0.300951
-18.0,7,0.316979
24.0,7,0.331125
-23.0,7,0.349643
20.0,7,0.363806
4.0,7,0.382269
-4.0,7,0.396405
-17.0,7,0.410484
18.0,7,0.43084
10.0,7,0.444951
14.0,7,0.463501
-21.0,7,0.477631
2.0,7,0.49184
23.0,7,0.51026
-1.0,7,0.526366
6.0,7,0.546915
-24.0,7,0.56127
-19.0,7,0.575459
22.0,7,0.594006
-11.0,7,0.608073
18.0,7,0.628498
-3.0,7,0.642946
9.0,7,0.657425
4.0,7,0.676288
39.0,7,0.690584
28.0,7,0.709388
45.0,7,0.725509
14.0,7,0.739957
-3.0,7,0.758872
-9.0,7,0.773173
-11.0,7,0.791961
36.0,7,0.806303
3.0,7,0.82248
-6.0,7,0.843435
4.0,7,0.857886
57.0,7,0.876649
-4.0,7,0.891004
-12.0,7,0.905319
3.0,7,0.925898
10.0,7,0.940251
0.0,7,0.958949
-2.0,7,0.973255
2.0,7,0.987617
19.0,7,1.006177
17.0,7,1.020579
-24.0,7,1.041125
7.0,7,1.055407
24.0,7,1.06964
-7.0,7,1.08819
-15.0,7,1.102349
23.0,7,1.120899
23.0,7,1.137516
45.0,7,1.153326
-6.0,7,1.171968
-24.0,7,1.189398
2.0,7,1.208138
-22.0,7,1.222407
14.0,7,1.238665
-11.0,7,1.25747
41.0,7,1.271831
16.0,7,1.290739
25.0,7,1.305169
4.0,7,1.31962
-1.0,7,1.340214
-15.0,7,1.354502
2.0,7,1.373266
-6.0,7,1.388422
5.0,7,1.403612
-23.0,7,1.42316
15.0,7,1.440933
-21.0,7,1.462117
11.0,7,1.477078
42.0,7,1.49144
-24.0,7,1.509917
-2.0,7,1.525028
15.0,7,1.54592
-24.0,7,1.560442
5.0,7,1.575639
-11.0,7,1.594203
-21.0,7,1.608259
-6.0,7,1.626773
2.0,7,1.643789
-22.0,7,1.658227
20.0,7,1.676743
11.0,7,1.690679
22.0,7,1.708855
0.0,7,1.722758
-2.0,7,1.736695
17.0,7,1.756838
-1.0,7,1.770795
1.0,7,1.788986
-5.0,7,1.803
19.0,7,1.817445
0.0,7,1.835736
10.0,7,1.852697
-20.0,7,1.871203
-3.0,7,1.885226
-3.0,7,1.899207
1.0,7,1.917439
-22.0,7,1.93214
17.0,7,1.95303
17.0,7,1.967578
21.0,7,1.981789
35.0,7,1.999997
12.0,7,2.013979
3.0,7,2.032093
0.0,7,2.047891
-21.0,7,2.061777
17.0,7,2.079954
-17.0,7,2.093842
-25.0,7,2.112011
-3.0,7,2.125941
40.0,7,2.140023
3.0,7,2.161499
-6.0,7,2.175592
5.0,7,2.193833
1.0,7,2.207798
15.0,7,2.221725
-24.0,7,2.239903
11.0,7,2.255882
-25.0,7,2.274368
-12.0,7,2.289764
1.0,7,2.304658
48.0,7,2.323601
21.0,7,2.337878
-19.0,7,2.363018
14.0,7,2.378294
3.0,7,2.392725
20.0,7,2.41151
20.0,7,2.426342
19.0,7,2.445125
-22.0,7,2.461323
5.0,7,2.476443
-4.0,7,2.495686
-2.0,7,2.509976
15.0,7,2.528949
19.0,7,2.544106
-5.0,7,2.56121
-18.0,7,2.581573
35.0,7,2.596783
7.0,7,2.616241
45.0,7,2.631197
6.0,7,2.647068
7.0,7,2.67055
10.0,7,2.687686
-2.0,7,2.709949
3.0,7,2.726972
-20.0,7,2.743344
4.0,7,2.763977
-2.0,7,2.778144
4.0,7,2.796566
15.0,7,2.810664
8.0,7,2.824713
59.0,7,2.843033
-1.0,7,2.857459
35.0,7,2.877849
19.0,7,2.892685
35.0,7,2.906852
35.0,7,2.925345
7.0,7,2.939412
14.0,7,2.958086
-5.0,7,2.974637
-6.0,7,2.988804
24.0,7,3.007195
15.0,7,3.021128
0.0,7,3.039421
17.0,7,3.053422
-6.0,7,3.069393
5.0,7,3.087854
-20.0,7,3.101863
22.0,7,3.120171
-3.0,7,3.134182
0.0,7,3.148224
-14.0,7,3.166736
5.0,7,3.18266
-15.0,7,3.200895
-18.0,7,3.214967
-23.0,7,3.22897
-24.0,7,3.247316
-3.0,7,3.261333
17.0,7,3.282317
13.0,7,3.29672
15.0,7,3.310987
-20.0,7,3.329654
3.0,7,3.343796
5.0,7,3.36234
-4.0,7,3.37849
0.0,7,3.392666
-3.0,7,3.411244
1.0,7,3.425471
2.0,7,3.444167
-2.0,7,3.458579
1.0,7,3.472944
-21.0,7,3.493479
-3.0,7,3.507869
-2.0,7,3.526464
-23.0,7,3.540614
-20.0,7,3.557846
2.0,7,3.576656
19.0,7,3.592888
-7.0,7,3.611673
22.0,7,3.625896
-24.0,7,3.640156
-20.0,7,3.659188
-4.0,7,3.673376
43.0,7,3.694201
18.0,7,3.708612
18.0,7,3.722953
0.0,7,3.74174
14.0,7,3.756411
-2.0,7,3.775326
-2.0,7,3.791715
5.0,7,3.805955
36.0,7,3.824912
23.0,7,3.839169
35.0,7,3.857773
4.0,7,3.871996
3.0,7,3.888093
-1.0,7,3.906953
-7.0,7,3.921272
23.0,7,3.940008
29.0,7,3.954689
-16.0,7,3.96898
-2.0,7,3.989678
17.0,7,4.003903
15.0,7,4.022623
4.0,7,4.036841
-3.0,7,4.051425
-4.0,7,4.070173
16.0,7,4.084406
22.0,7,4.104822
-5.0,7,4.119036
8.0,7,4.133237
19.0,7,4.151925
24.0,7,4.166179
-1.0,7,4.18516
19.0,7,4.201472
17.0,7,4.215783
20.0,7,4.234655
25.0,7,4.248991
6.0,7,4.268269
-3.0,7,4.282727
-19.0,7,4.298947
5.0,7,4.317651
-5.0,7,4.331978
1.0,7,4.35072
45.0,7,4.365409
1.0,7,4.379834
19.0,7,4.400589
5.0,7,4.414876
-2.0,7,4.433515
-19.0,7,4.447806
-1.0,7,4.462754
-3.0,7,4.481614
-2.0,7,4.497844
36.0,7,4.516628
34.0,7,4.530877
15.0,7,4.545073
4.0,7,4.564615
18.0,7,4.579135
-3.0,7,4.59955
-6.0,7,4.613855
-19.0,7,4.627971
-4.0,7,4.646401
4.0,7,4.66056
-2.0,7,4.679094
-17.0,7,4.693227
5.0,7,4.708984
-24.0,7,4.730446
-7.0,7,4.744563
3.0,7,4.76345
-5.0,7,4.777717
-22.0,7,4.791775
-13.0,7,4.812043
3.0,7,4.82611
38.0,7,4.84463
-3.0,7,4.858839
-7.0,7,4.872971
1.0,7,4.891557
-24.0,7,4.907627
17.0,7,4.926095
14.0,7,4.940341
20.0,7,4.954689
17.0,7,4.973431
40.0,7,4.987754
-3.0,7,5.008226
-7.0,7,5.022388
-20.0,7,5.036474
-22.0,7,5.055033
-24.0,7,5.069452
56.0,7,5.087944
-20.0,7,5.102031
1.0,7,5.117789
-4.0,7,5.136274
-11.0,7,5.150374
1.0,7,5.168928
18.0,7,5.183547
14.0,7,5.197898
14.0,7,5.218614
-2.0,7,5.233021
8.0,7,5.251859
-4.0,7,5.266641
14.0,7,5.281094
-13.0,7,5.299936
62.0,7,5.316211
-24.0,7,5.335099
18.0,7,5.349357
-17.0,7,5.363834
39.0,7,5.382649
-10.0,7,5.396833
-4.0,7,5.417321
3.0,7,5.431601
2.0,7,5.445911
10.0,7,5.46462
17.0,7,5.478962
-5.0,7,5.497629
-7.0,7,5.511939
-19.0,7,5.528028
21.0,7,5.54669
9.0,7,5.560883
-25.0,7,5.579634
-4.0,7,5.593917
15.0,7,5.608246
3.0,7,5.628904
-6.0,7,5.643486
-24.0,7,5.663456
-6.0,7,5.678014
-24.0,7,5.692381
15.0,7,5.711322
-23.0,7,5.727446
-22.0,7,5.74623
39.0,7,5.760746
-14.0,7,5.775184
3.0,7,5.794101
-7.0,7,5.808463
-4.0,7,5.829004
-1.0,7,5.843899
1.0,7,5.859193
-16.0,7,5.878115
14.0,7,5.892488
0.0,7,5.914222
-3.0,7,5.930487
1.0,7,5.944851
6.0,7,5.964049
-20.0,7,5.97856
-17.0,7,5.997474
-24.0,7,6.011898
29.0,7,6.028226
-23.0,7,6.046942
18.0,7,6.062012
16.0,7,6.08096
40.0,7,6.095467
-15.0,7,6.109686
19.0,7,6.130127
1.0,7,6.144329
6.0,7,6.162897
-25.0,7,6.177288
14.0,7,6.191669
12.0,7,6.210468
8.0,7,6.224763
-2.0,7,6.245475
-19.0,7,6.260267
17.0,7,6.274515
-3.0,7,6.293296
