#{"t_start": 1764362370.5365148, "env_id": "None"}
r,l,t
-15.0,7,0.018134
12.0,7,0.027855
0.0,7,0.037516
0.0,7,0.047098
28.0,7,0.056622
-20.0,7,0.066323
3.0,7,0.075995
-16.0,7,0.085522
11.0,7,0.09531
13.0,7,0.104986
-25.0,7,0.116949
16.0,7,0.126559
2.0,7,0.136163
23.0,7,0.145805
-7.0,7,0.155419
-6.0,7,0.165024
-19.0,7,0.174654
-13.0,7,0.184239
-11.0,7,0.193795
-7.0,7,0.203405
14.0,7,0.215238
-15.0,7,0.224902
42.0,7,0.234555
5.0,7,0.246015
-3.0,7,0.256089
-2.0,7,0.265806
-3.0,7,0.275478
15.0,7,0.285157
18.0,7,0.294836
-4.0,7,0.304456
-6.0,7,0.316226
-3.0,7,0.325848
-18.0,7,0.335473
27.0,7,0.345108
6.0,7,0.354753
39.0,7,0.364349
-5.0,7,0.373985
23.0,7,0.383609
-21.0,7,0.393129
-19.0,7,0.402679
-9.0,7,0.412364
25.0,7,0.424305
25.0,7,0.434026
-3.0,7,0.445419
6.0,7,0.455688
-11.0,7,0.465318
-21.0,7,0.474875
-2.0,7,0.484594
34.0,7,0.494279
22.0,7,0.503964
-10.0,7,0.513553
4.0,7,0.525358
10.0,7,0.534993
-18.0,7,0.544685
4.0,7,0.556558
16.0,7,0.567088
-2.0,7,0.577014
-5.0,7,0.586939
-18.0,7,0.596849
-17.0,7,0.606624
-2.0,7,0.616463
2.0,7,0.62829
-17.0,7,0.637851
3.0,7,0.647694
36.0,7,0.657644
-19.0,7,0.667307
5.0,7,0.676934
37.0,7,0.686517
-7.0,7,0.696159
19.0,7,0.705718
14.0,7,0.71543
22.0,7,0.72739
-23.0,7,0.737325
17.0,7,0.747308
47.0,7,0.757356
10.0,7,0.767137
-3.0,7,0.77742
-16.0,7,0.787582
-14.0,7,0.797518
15.0,7,0.807505
-6.0,7,0.817447
-21.0,7,0.829922
0.0,7,0.839885
-21.0,7,0.851521
-4.0,7,0.863613
21.0,7,0.874214
-19.0,7,0.884079
-17.0,7,0.894026
-12.0,7,0.903926
36.0,7,0.913933
-5.0,7,0.923915
18.0,7,0.936108
5.0,7,0.94608
0.0,7,0.955988
11.0,7,0.965871
7.0,7,0.975688
42.0,7,0.986348
-6.0,7,0.997338
-6.0,7,1.007136
8.0,7,1.017033
10.0,7,1.029144
-17.0,7,1.039394
-18.0,7,1.049438
21.0,7,1.059419
-20.0,7,1.069416
26.0,7,1.079326
2.0,7,1.089271
-21.0,7,1.09921
13.0,7,1.109137
20.0,7,1.1205
0.0,7,1.132624
26.0,7,1.142616
16.0,7,1.152552
22.0,7,1.162482
-5.0,7,1.172404
8.0,7,1.182318
23.0,7,1.192215
22.0,7,1.202072
21.0,7,1.212044
-21.0,7,1.221877
18.0,7,1.233809
35.0,7,1.243772
2.0,7,1.253715
10.0,7,1.263801
21.0,7,1.273739
-1.0,7,1.283723
15.0,7,1.293515
0.0,7,1.303345
27.0,7,1.313164
-24.0,7,1.323241
18.0,7,1.333175
5.0,7,1.345313
-17.0,7,1.355236
19.0,7,1.365109
67.0,7,1.375006
-16.0,7,1.385458
5.0,7,1.395304
-11.0,7,1.405151
-24.0,7,1.415078
-6.0,7,1.424963
-1.0,7,1.434843
-24.0,7,1.446774
-15.0,7,1.456554
22.0,7,1.466357
1.0,7,1.476247
11.0,7,1.486122
17.0,7,2.90275
-22.0,7,2.912469
-24.0,7,2.922108
-6.0,7,2.931774
4.0,7,2.941444
-21.0,7,2.950994
0.0,7,2.960585
2.0,7,2.972282
19.0,7,2.981919
-11.0,7,2.991495
41.0,7,3.001088
-2.0,7,3.010668
-1.0,7,3.020261
-15.0,7,3.029893
-5.0,7,3.03947
1.0,7,3.049129
-7.0,7,3.060641
10.0,7,3.070369
