#{"t_start": 1764362152.552451, "env_id": "None"}
r,l,t
13.0,7,0.018566
6.0,7,0.028139
14.0,7,0.03782
-18.0,7,0.047459
5.0,7,0.057008
-9.0,7,0.066659
0.0,7,0.076284
-1.0,7,0.085806
36.0,7,0.095417
-1.0,7,0.104958
15.0,7,0.116743
-21.0,7,0.126208
-1.0,7,0.135832
19.0,7,0.145385
7.0,7,0.154966
-17.0,7,0.164484
-7.0,7,0.174069
-6.0,7,0.183701
12.0,7,0.193296
-21.0,7,0.202896
3.0,7,0.214634
-2.0,7,0.224208
7.0,7,0.233788
5.0,7,0.243367
-5.0,7,0.252925
-19.0,7,0.262489
40.0,7,0.271995
-3.0,7,0.281575
24.0,7,0.291363
-21.0,7,0.30148
1.0,7,0.311087
15.0,7,0.322854
7.0,7,0.332377
-23.0,7,0.341962
0.0,7,0.35155
33.0,7,0.361104
33.0,7,0.370641
-11.0,7,0.380126
5.0,7,0.389664
27.0,7,0.399237
38.0,7,0.408862
-4.0,7,0.420573
-21.0,7,0.430135
-16.0,7,0.439677
-3.0,7,0.449239
-4.0,7,0.458841
-1.0,7,0.468379
-12.0,7,0.47799
-3.0,7,0.48752
23.0,7,0.497212
10.0,7,0.506742
9.0,7,0.518452
5.0,7,0.52818
0.0,7,0.537838
-17.0,7,0.547483
5.0,7,0.557144
18.0,7,0.566685
27.0,7,0.576419
15.0,7,0.586124
35.0,7,0.595827
22.0,7,0.605455
3.0,7,0.615023
3.0,7,0.626716
0.0,7,0.636375
16.0,7,0.646046
2.0,7,0.655712
-3.0,7,0.665373
17.0,7,0.675076
17.0,7,0.684801
8.0,7,0.694403
-2.0,7,0.704058
37.0,7,0.713743
-24.0,7,0.725522
-16.0,7,0.735174
4.0,7,0.744783
44.0,7,0.75436
0.0,7,0.763997
4.0,7,0.773665
-18.0,7,0.783344
26.0,7,0.793067
0.0,7,0.802824
-18.0,7,0.8125
1.0,7,0.822215
-7.0,7,0.834106
-3.0,7,0.843837
-17.0,7,0.853493
25.0,7,0.863133
-16.0,7,0.872796
-1.0,7,0.882391
-4.0,7,0.892134
36.0,7,0.901822
24.0,7,0.911437
15.0,7,0.921232
3.0,7,0.933135
2.0,7,0.942813
36.0,7,0.952469
2.0,7,0.962178
24.0,7,0.971778
6.0,7,0.982236
-6.0,7,0.992156
-2.0,7,1.001922
23.0,7,1.011739
-15.0,7,1.021442
42.0,7,1.033272
-1.0,7,1.042958
5.0,7,1.052579
18.0,7,1.0623
-6.0,7,1.071958
4.0,7,1.081627
-22.0,7,1.091411
36.0,7,1.102003
30.0,7,1.112289
-3.0,7,1.122447
22.0,7,1.134991
41.0,7,1.14523
-16.0,7,1.15521
-21.0,7,1.165038
-3.0,7,1.174881
-7.0,7,1.184683
6.0,7,1.194471
14.0,7,1.204268
0.0,7,1.21395
-1.0,7,1.223744
9.0,7,1.235449
2.0,7,1.245139
-17.0,7,1.254871
12.0,7,1.264588
-11.0,7,1.27433
-9.0,7,1.284076
