#{"t_start": 1764267460.897155, "env_id": "None"}
r,l,t
26.0,7,0.009272
-16.0,7,0.021718
19.0,7,0.033618
5.0,7,0.045445
-2.0,7,0.057341
-20.0,7,0.069483
3.0,7,0.081624
21.0,7,0.09372
-22.0,7,0.105763
10.0,7,0.117583
23.0,7,0.129414
23.0,7,0.14121
-23.0,7,0.153064
17.0,7,0.164891
-16.0,7,0.17672
-11.0,7,0.188467
21.0,7,0.200277
18.0,7,0.212086
-20.0,7,0.223888
-21.0,7,0.235721
5.0,7,0.247518
4.0,7,0.259306
-22.0,7,0.271022
6.0,7,0.285589
-23.0,7,0.297414
-10.0,7,0.309217
-21.0,7,0.320938
-16.0,7,0.332771
42.0,7,0.344596
5.0,7,0.356378
3.0,7,0.368179
-16.0,7,0.379953
23.0,7,0.391765
20.0,7,0.403458
3.0,7,0.415359
-3.0,7,0.428388
1.0,7,0.440221
2.0,7,0.452154
-3.0,7,0.464047
-4.0,7,0.475819
44.0,7,0.48931
-21.0,7,0.501129
18.0,7,0.512931
23.0,7,0.524652
2.0,7,0.536391
-23.0,7,0.548244
-11.0,7,0.559985
-3.0,7,0.571702
26.0,7,0.583453
0.0,7,0.595222
18.0,7,0.610536
15.0,7,0.625931
-15.0,7,0.639201
25.0,7,0.651043
21.0,7,0.662794
-23.0,7,0.674563
6.0,7,0.686404
-17.0,7,0.698211
-3.0,7,0.709886
-11.0,7,0.721562
-15.0,7,0.733394
-1.0,7,0.745187
1.0,7,0.756945
-11.0,7,0.768736
-1.0,7,0.780544
5.0,7,0.79258
-14.0,7,0.804707
15.0,7,0.816477
5.0,7,0.828119
-19.0,7,0.839803
2.0,7,0.85154
-16.0,7,0.863229
14.0,7,0.875073
-5.0,7,0.886838
10.0,7,0.89856
38.0,7,0.910298
2.0,7,0.921898
-16.0,7,0.933516
-16.0,7,0.94533
15.0,7,0.956992
-1.0,7,0.968718
-23.0,7,0.980371
14.0,7,0.992087
-16.0,7,1.003544
3.0,7,1.015222
-14.0,7,1.02688
-16.0,7,1.038489
2.0,7,1.050213
-6.0,7,1.061817
26.0,7,1.073702
14.0,7,1.085626
35.0,7,1.09738
-16.0,7,1.109052
5.0,7,1.120713
-15.0,7,1.132356
19.0,7,1.144057
10.0,7,1.155759
-4.0,7,1.167677
-24.0,7,1.179593
18.0,7,1.191381
30.0,7,1.203216
-4.0,7,1.214998
42.0,7,1.226856
26.0,7,1.238472
17.0,7,1.250242
-6.0,7,1.261896
-5.0,7,1.273604
-24.0,7,1.285275
35.0,7,1.297046
-20.0,7,1.308827
15.0,7,1.320571
20.0,7,1.332287
26.0,7,1.343943
7.0,7,1.355562
14.0,7,1.367247
-23.0,7,1.378888
-18.0,7,1.390592
-5.0,7,1.402245
-3.0,7,1.413912
23.0,7,1.425554
-7.0,7,1.437236
9.0,7,1.448875
22.0,7,1.460548
-25.0,7,1.472282
-25.0,7,1.483909
-25.0,7,1.495606
14.0,7,1.507287
17.0,7,1.51896
14.0,7,1.530635
-14.0,7,1.54236
16.0,7,1.55405
-2.0,7,1.566131
13.0,7,1.577857
-1.0,7,1.589656
-20.0,7,1.601546
-3.0,7,1.613408
23.0,7,1.625191
-7.0,7,1.637259
66.0,7,1.64908
-6.0,7,1.66081
64.0,7,1.672673
30.0,7,1.684534
-7.0,7,1.699965
8.0,7,1.71505
31.0,7,1.728574
-20.0,7,1.740407
-2.0,7,1.752225
0.0,7,1.763996
-7.0,7,1.775767
-20.0,7,1.787627
20.0,7,1.802257
-15.0,7,1.814289
-20.0,7,1.826208
-20.0,7,1.838087
-7.0,7,1.84989
-7.0,7,1.861668
-25.0,7,1.873501
38.0,7,1.885376
-19.0,7,1.897121
25.0,7,1.908874
-19.0,7,1.920574
66.0,7,1.932575
20.0,7,1.944533
-5.0,7,1.956497
-6.0,7,1.968445
6.0,7,1.980468
-7.0,7,1.992725
66.0,7,2.004945
-25.0,7,2.017532
-25.0,7,2.029729
-1.0,7,2.041675
-7.0,7,2.053586
39.0,7,2.067093
-25.0,7,2.082813
9.0,7,2.098
-7.0,7,2.113312
-25.0,7,2.129032
-20.0,7,2.144247
-20.0,7,2.157824
82.0,7,2.169684
34.0,7,2.181602
-5.0,7,2.193408
-20.0,7,2.20521
30.0,7,2.216991
-6.0,7,2.228808
-24.0,7,2.24052
10.0,7,2.252436
-6.0,7,2.264194
59.0,7,2.277879
-25.0,7,2.293032
-7.0,7,2.306194
-7.0,7,2.317908
-24.0,7,2.329572
46.0,7,2.341307
-25.0,7,2.352917
-15.0,7,2.364533
-19.0,7,2.37614
22.0,7,2.387723
-22.0,7,2.399257
23.0,7,2.410929
-7.0,7,2.422555
-25.0,7,2.434161
-7.0,7,2.445769
-7.0,7,2.457443
-7.0,7,2.469194
7.0,7,2.480652
-20.0,7,2.49226
-23.0,7,2.50428
-7.0,7,2.516357
-7.0,7,2.528139
-7.0,7,2.539972
-17.0,7,2.551921
-25.0,7,2.56372
3.0,7,2.575476
-2.0,7,2.5873
-6.0,7,2.59974
-6.0,7,2.612944
31.0,7,2.626675
-20.0,7,2.639745
-25.0,7,2.652866
-4.0,7,2.664586
-2.0,7,2.676314
-24.0,7,2.687944
14.0,7,2.699706
-2.0,7,2.711593
-16.0,7,2.723349
-7.0,7,2.735044
21.0,7,2.746797
66.0,7,2.758531
67.0,7,2.770249
-7.0,7,2.782756
-2.0,7,2.796671
-20.0,7,2.810057
-25.0,7,2.822245
30.0,7,2.834427
-7.0,7,2.846442
-3.0,7,2.858357
-4.0,7,2.870404
-25.0,7,2.882427
-1.0,7,2.894208
11.0,7,2.906445
-15.0,7,2.91843
-6.0,7,2.930396
-15.0,7,2.942386
-7.0,7,2.954342
-24.0,7,2.96656
-7.0,7,2.978398
13.0,7,2.990291
-20.0,7,3.002715
14.0,7,3.014774
22.0,7,3.02671
-10.0,7,3.038628
-1.0,7,3.050803
-24.0,7,3.062737
-4.0,7,3.074685
-7.0,7,3.086757
13.0,7,3.09885
-19.0,7,3.110926
-2.0,7,3.122853
14.0,7,3.134803
-20.0,7,3.146675
-3.0,7,3.158632
-20.0,7,3.170615
9.0,7,3.183377
-20.0,7,3.195452
-7.0,7,3.208253
-25.0,7,3.220786
-1.0,7,3.235612
-7.0,7,3.250042
-19.0,7,3.262828
-6.0,7,3.274833
42.0,7,3.288306
-7.0,7,3.30433
-18.0,7,3.316809
14.0,7,3.331162
-19.0,7,3.344341
-7.0,7,3.357565
34.0,7,3.369851
-7.0,7,3.38205
-7.0,7,3.39419
-7.0,7,3.406373
-24.0,7,3.418324
30.0,7,3.430131
-7.0,7,3.441836
-23.0,7,3.453515
29.0,7,3.465276
-6.0,7,3.476959
10.0,7,3.48859
-20.0,7,3.500299
-22.0,7,3.511974
-7.0,7,3.523631
16.0,7,3.535317
-25.0,7,3.54713
-7.0,7,3.558856
-25.0,7,3.570504
-4.0,7,3.582187
-12.0,7,3.594569
-5.0,7,3.609985
-2.0,7,3.62245
-25.0,7,3.63523
-7.0,7,3.647761
-25.0,7,3.659903
-2.0,7,3.67195
-7.0,7,3.683954
11.0,7,3.696157
-1.0,7,3.708115
15.0,7,3.720398
-7.0,7,3.73232
0.0,7,3.744797
25.0,7,3.757088
-25.0,7,3.769046
22.0,7,3.781824
23.0,7,3.794776
-20.0,7,3.806804
14.0,7,3.818742
14.0,7,3.830624
-7.0,7,3.844531
-20.0,7,3.858578
-19.0,7,3.871243
25.0,7,3.883359
-17.0,7,3.896707
-25.0,7,3.908941
-19.0,7,3.921175
54.0,7,3.933048
-7.0,7,3.944829
-20.0,7,3.956572
1.0,7,3.968331
-2.0,7,3.98011
44.0,7,3.991907
9.0,7,4.003635
23.0,7,4.015397
1.0,7,4.02722
0.0,7,4.038996
-6.0,7,4.05122
-23.0,7,4.063388
-1.0,7,4.075334
-7.0,7,4.087117
0.0,7,4.098752
26.0,7,4.110408
-23.0,7,4.122154
23.0,7,4.133876
-7.0,7,4.145583
-5.0,7,4.157315
40.0,7,4.169047
-10.0,7,4.180765
-17.0,7,4.192476
-20.0,7,4.20418
-3.0,7,4.215862
-3.0,7,4.227625
-5.0,7,4.23939
-13.0,7,4.251214
7.0,7,4.262911
-23.0,7,4.274719
21.0,7,4.286445
23.0,7,4.298254
-20.0,7,4.310076
-3.0,7,4.321774
13.0,7,4.333699
40.0,7,4.345447
-25.0,7,4.357283
14.0,7,4.369093
-6.0,7,4.380846
-25.0,7,4.392574
-25.0,7,4.404259
21.0,7,4.415987
-18.0,7,4.427624
-4.0,7,4.439282
-20.0,7,4.451019
-25.0,7,4.462789
-2.0,7,4.474463
-16.0,7,4.489253
-20.0,7,4.503771
14.0,7,4.519254
-15.0,7,4.532425
-7.0,7,4.545784
-25.0,7,4.55827
-25.0,7,4.571072
-24.0,7,4.586626
-7.0,7,4.600569
-17.0,7,4.613974
-7.0,7,4.625917
6.0,7,4.638044
-15.0,7,4.649926
-24.0,7,4.661965
33.0,7,4.675587
10.0,7,4.688705
-6.0,7,4.704683
-25.0,7,4.717858
17.0,7,4.729829
1.0,7,4.743807
-24.0,7,4.758046
-20.0,7,4.773397
-20.0,7,4.788951
20.0,7,4.804258
-6.0,7,4.819838
-20.0,7,4.831913
-25.0,7,4.843601
-4.0,7,4.855215
-6.0,7,4.866936
-6.0,7,4.878794
-7.0,7,4.890676
-2.0,7,4.90248
-8.0,7,4.914318
-20.0,7,4.926049
-25.0,7,4.937576
46.0,7,4.949172
-25.0,7,4.961132
-5.0,7,4.97273
14.0,7,4.984261
11.0,7,4.995812
-25.0,7,5.007352
17.0,7,5.018884
-2.0,7,5.030391
25.0,7,5.041942
-3.0,7,5.05345
-6.0,7,5.065028
-5.0,7,5.076689
34.0,7,5.088225
0.0,7,5.099726
-7.0,7,5.111346
-25.0,7,5.122943
-25.0,7,5.134473
17.0,7,5.146037
-8.0,7,5.157568
-7.0,7,5.169127
21.0,7,5.180628
-2.0,7,5.192168
-25.0,7,5.203626
25.0,7,5.215119
60.0,7,5.226662
-18.0,7,5.238181
-4.0,7,5.249681
-22.0,7,5.261081
-24.0,7,5.272614
45.0,7,5.284182
-4.0,7,5.295789
17.0,7,5.307339
4.0,7,5.318882
20.0,7,5.330404
42.0,7,5.341935
-15.0,7,5.353522
-4.0,7,5.365082
-7.0,7,5.376569
-6.0,7,5.388102
44.0,7,5.399731
41.0,7,5.411273
2.0,7,5.425941
3.0,7,5.440464
-7.0,7,5.455369
41.0,7,5.468442
-12.0,7,5.480348
-3.0,7,5.49216
63.0,7,5.503807
-4.0,7,5.515456
81.0,7,5.527318
-25.0,7,5.538957
-7.0,7,5.550535
-4.0,7,5.562151
-11.0,7,5.573722
-19.0,7,5.585232
-7.0,7,5.596964
-20.0,7,5.608603
-2.0,7,5.620303
-6.0,7,5.631994
29.0,7,5.643721
-18.0,7,5.655381
21.0,7,5.667012
-3.0,7,5.678676
13.0,7,5.690336
-7.0,7,5.70208
-6.0,7,5.713692
45.0,7,5.725332
45.0,7,5.736913
-25.0,7,5.74856
-25.0,7,5.760208
-15.0,7,5.771918
11.0,7,5.783717
81.0,7,5.795562
-4.0,7,5.807282
-4.0,7,5.818974
45.0,7,5.830752
21.0,7,5.842352
-20.0,7,5.8541
22.0,7,5.865695
18.0,7,5.877286
-12.0,7,5.889478
17.0,7,5.901294
5.0,7,5.913389
3.0,7,5.925393
-25.0,7,5.937148
-20.0,7,5.948811
29.0,7,5.96043
-6.0,7,5.972089
-24.0,7,5.983687
-2.0,7,5.995302
-4.0,7,6.006963
-7.0,7,6.018585
-3.0,7,6.030278
1.0,7,6.042088
-6.0,7,6.054298
25.0,7,6.066284
1.0,7,6.079355
-20.0,7,6.092661
-12.0,7,6.105866
19.0,7,6.119182
-23.0,7,6.131259
-7.0,7,6.142993
40.0,7,6.154708
44.0,7,6.166381
-7.0,7,6.178042
45.0,7,6.189634
-19.0,7,6.201183
42.0,7,6.212744
3.0,7,6.224315
-7.0,7,6.235905
2.0,7,6.247396
-2.0,7,6.258985
11.0,7,6.270615
-7.0,7,6.282193
4.0,7,6.293823
-25.0,7,6.305421
-7.0,7,6.317055
49.0,7,6.32867
-4.0,7,6.340292
25.0,7,6.351932
-6.0,7,6.363529
61.0,7,6.375172
20.0,7,6.386742
1.0,7,6.398275
-4.0,7,6.409876
61.0,7,6.421404
-18.0,7,6.433822
2.0,7,6.445426
20.0,7,6.457132
-20.0,7,6.468779
-4.0,7,6.480371
25.0,7,6.492035
-25.0,7,6.503725
17.0,7,6.515381
-22.0,7,6.527047
29.0,7,6.538666
1.0,7,6.552603
33.0,7,6.566578
-20.0,7,6.580551
-25.0,7,6.593125
-25.0,7,6.60501
54.0,7,6.616743
25.0,7,6.628499
-6.0,7,6.640171
-25.0,7,6.651902
-20.0,7,6.663677
-4.0,7,6.675426
6.0,7,6.687111
42.0,7,6.698781
18.0,7,6.710436
42.0,7,6.722169
11.0,7,6.73402
-25.0,7,6.74744
-7.0,7,6.761425
-7.0,7,6.775493
-7.0,7,6.789809
11.0,7,6.802627
-25.0,7,6.814485
23.0,7,6.826316
-7.0,7,6.838074
42.0,7,6.849694
-7.0,7,6.861383
-7.0,7,6.873226
-25.0,7,6.885187
9.0,7,6.897019
-22.0,7,6.908788
-7.0,7,6.920635
-7.0,7,6.932559
66.0,7,6.944379
-2.0,7,6.956271
14.0,7,6.96791
-7.0,7,6.979402
-25.0,7,6.990947
21.0,7,7.002412
-25.0,7,7.013969
-25.0,7,7.02542
-7.0,7,7.037203
-25.0,7,7.049268
-25.0,7,7.061466
11.0,7,7.073301
-25.0,7,7.084936
45.0,7,7.096632
-25.0,7,7.108334
-7.0,7,7.119957
46.0,7,7.131578
30.0,7,7.143217
41.0,7,7.15485
-25.0,7,7.166385
11.0,7,7.177997
-25.0,7,7.189668
-7.0,7,7.201239
-20.0,7,7.212789
30.0,7,7.22593
46.0,7,7.237746
-7.0,7,7.249389
-7.0,7,7.260988
-25.0,7,7.272535
22.0,7,7.284075
58.0,7,7.295586
86.0,7,7.307135
-25.0,7,7.318688
-25.0,7,7.3302
-25.0,7,7.341713
-7.0,7,7.353678
-7.0,7,7.36522
-7.0,7,7.376717
-7.0,7,7.388222
26.0,7,7.399725
-6.0,7,7.411201
99.0,7,7.42268
-20.0,7,7.43426
11.0,7,7.445752
-2.0,7,7.457237
-25.0,7,7.468742
-20.0,7,7.481793
-23.0,7,7.493722
11.0,7,7.505397
-7.0,7,7.517136
-4.0,7,7.528861
-20.0,7,7.54061
-4.0,7,7.552392
-7.0,7,7.564129
26.0,7,7.575809
22.0,7,7.587624
30.0,7,7.599393
-23.0,7,7.610931
11.0,7,7.622555
-2.0,7,7.63425
-25.0,7,7.64616
-25.0,7,7.657906
-7.0,7,7.669677
-6.0,7,7.6814
-20.0,7,7.693177
-20.0,7,7.705092
-2.0,7,7.716838
-7.0,7,7.728697
-6.0,7,7.740356
-6.0,7,7.752066
-7.0,7,7.764038
-25.0,7,7.775867
-15.0,7,7.787704
-7.0,7,7.799456
-7.0,7,7.811231
-7.0,7,7.822925
-15.0,7,7.834694
-25.0,7,7.846382
-15.0,7,7.858107
-2.0,7,7.869793
-20.0,7,7.881587
-25.0,7,7.893431
-4.0,7,7.905158
10.0,7,7.917008
47.0,7,7.928872
21.0,7,7.940868
-4.0,7,7.952737
-7.0,7,7.964655
-7.0,7,7.976474
-25.0,7,7.988473
-4.0,7,8.000306
-2.0,7,8.012156
-7.0,7,8.023927
-7.0,7,8.035818
-2.0,7,8.047601
-25.0,7,8.059396
-25.0,7,8.07119
-7.0,7,8.083181
-7.0,7,8.095373
-7.0,7,8.107366
-20.0,7,8.119397
-25.0,7,8.131402
-20.0,7,8.143239
-7.0,7,8.155102
-25.0,7,8.166862
-19.0,7,8.178551
-20.0,7,8.190325
-25.0,7,8.20206
-7.0,7,8.213863
62.0,7,8.225594
-7.0,7,8.237379
14.0,7,8.249115
82.0,7,8.260791
-20.0,7,8.272488
-25.0,7,8.284185
-7.0,7,8.29593
41.0,7,8.307585
-7.0,7,8.319349
-24.0,7,8.331177
-25.0,7,8.342898
-20.0,7,8.354593
42.0,7,8.366372
22.0,7,8.378106
2.0,7,8.390413
-25.0,7,8.402217
-25.0,7,8.414023
-20.0,7,8.425752
-7.0,7,8.437575
-6.0,7,8.449423
6.0,7,8.461223
-25.0,7,8.472971
-25.0,7,8.484712
-2.0,7,8.49631
-24.0,7,8.507975
-25.0,7,8.519574
-25.0,7,8.531347
-7.0,7,8.542992
-7.0,7,8.55467
-7.0,7,8.56635
50.0,7,8.577958
46.0,7,8.589583
58.0,7,8.601247
-7.0,7,8.636951
-7.0,7,8.64861
46.0,7,8.660199
62.0,7,8.671765
-25.0,7,8.683328
-7.0,7,8.694976
14.0,7,8.706627
11.0,7,8.71823
-25.0,7,8.729803
-4.0,7,8.741414
-7.0,7,8.753043
-7.0,7,8.764635
-25.0,7,8.776268
6.0,7,8.788073
0.0,7,8.799698
-25.0,7,8.811279
-25.0,7,8.8229
-20.0,7,8.834528
6.0,7,8.846144
11.0,7,8.857662
-25.0,7,8.869233
-7.0,7,8.880744
62.0,7,8.892282
34.0,7,8.903867
-6.0,7,8.915373
-7.0,7,8.92717
-25.0,7,8.938856
-2.0,7,8.950536
-25.0,7,8.962135
-15.0,7,8.973684
22.0,7,8.9853
-4.0,7,8.996919
-25.0,7,9.008544
-25.0,7,9.020198
-7.0,7,9.031923
-7.0,7,9.043486
30.0,7,9.055087
-2.0,7,9.066708
82.0,7,9.078296
67.0,7,9.089913
-7.0,7,9.101684
31.0,7,9.113312
34.0,7,9.124942
-20.0,7,9.136564
-15.0,7,9.148166
-25.0,7,9.159724
34.0,7,9.171279
-24.0,7,9.182805
46.0,7,9.194383
61.0,7,9.206035
-25.0,7,9.217607
-2.0,7,9.22928
63.0,7,9.240948
-25.0,7,9.2525
9.0,7,9.264065
8.0,7,9.275623
-4.0,7,9.287204
-25.0,7,9.29872
-6.0,7,9.310282
-7.0,7,9.321844
-25.0,7,9.33357
-25.0,7,9.345214
9.0,7,9.356967
-25.0,7,9.368536
21.0,7,9.380137
-7.0,7,9.391703
-2.0,7,9.403256
46.0,7,9.414966
-7.0,7,9.426506
-7.0,7,9.439014
30.0,7,9.452069
-20.0,7,9.463758
50.0,7,9.475348
-18.0,7,9.486885
-20.0,7,9.498483
-23.0,7,9.51006
-25.0,7,9.521623
-25.0,7,9.533404
46.0,7,9.545108
11.0,7,9.5567
-7.0,7,9.568594
-25.0,7,9.58036
-25.0,7,9.592132
-25.0,7,9.603855
-2.0,7,9.615551
-19.0,7,9.627756
-7.0,7,9.639491
-4.0,7,9.651256
-7.0,7,9.663058
41.0,7,9.674817
-25.0,7,9.686577
50.0,7,9.698277
22.0,7,9.709883
62.0,7,9.721593
62.0,7,9.733501
43.0,7,9.745214
-15.0,7,9.75679
-7.0,7,9.768431
-25.0,7,9.780127
-25.0,7,9.791727
-25.0,7,9.803317
-25.0,7,9.814893
-20.0,7,9.826462
-25.0,7,9.840428
-7.0,7,9.85433
-2.0,7,9.868243
11.0,7,9.882112
50.0,7,9.896034
30.0,7,9.909855
-7.0,7,9.92394
30.0,7,9.938077
-20.0,7,9.952053
-7.0,7,9.966006
-2.0,7,9.979941
-7.0,7,9.991609
-12.0,7,10.003207
-15.0,7,10.01526
-25.0,7,10.027106
-7.0,7,10.038757
16.0,7,10.050359
-25.0,7,10.061992
-25.0,7,10.073604
-25.0,7,10.085195
-15.0,7,10.096772
-7.0,7,10.108312
-7.0,7,10.119858
-7.0,7,10.131426
-25.0,7,10.142958
-7.0,7,10.154471
-25.0,7,10.166068
66.0,7,10.177602
-25.0,7,10.189156
-25.0,7,10.200626
62.0,7,10.212413
-25.0,7,10.224337
-4.0,7,10.235973
101.0,7,10.247533
-7.0,7,10.259053
-7.0,7,10.270579
11.0,7,10.282104
-25.0,7,10.293665
-20.0,7,10.305474
42.0,7,10.317324
-20.0,7,10.329137
-7.0,7,10.340914
-25.0,7,10.352551
-25.0,7,10.364226
-7.0,7,10.375823
-7.0,7,10.387481
42.0,7,10.399157
-25.0,7,10.410714
-25.0,7,10.422325
86.0,7,10.433939
11.0,7,10.445529
-25.0,7,10.4572
-7.0,7,10.469372
1.0,7,10.481875
-7.0,7,10.494489
-2.0,7,10.506557
26.0,7,10.518296
11.0,7,10.529966
-6.0,7,10.54172
-25.0,7,10.553556
-7.0,7,10.565304
-4.0,7,10.576989
27.0,7,10.58862
16.0,7,10.600309
-20.0,7,10.611933
-6.0,7,10.623471
1.0,7,10.635045
11.0,7,10.646579
45.0,7,10.658159
11.0,7,10.669679
-6.0,7,10.681184
-2.0,7,10.692672
42.0,7,10.704206
-2.0,7,10.71597
-25.0,7,10.727541
-25.0,7,10.739095
-20.0,7,10.750575
-6.0,7,10.762121
-7.0,7,10.773617
-25.0,7,10.785384
85.0,7,10.797088
-7.0,7,10.808653
10.0,7,10.820317
-7.0,7,10.831987
-25.0,7,10.843574
45.0,7,10.855202
-7.0,7,10.86674
106.0,7,10.87836
-7.0,7,10.890089
-2.0,7,10.901595
-2.0,7,10.913125
-25.0,7,10.924731
-25.0,7,10.936316
-2.0,7,10.94793
-6.0,7,10.959938
-15.0,7,10.971704
-2.0,7,10.98328
62.0,7,10.994871
-7.0,7,11.006446
-7.0,7,11.019874
-20.0,7,11.031829
0.0,7,11.043585
42.0,7,11.055248
26.0,7,11.066787
-4.0,7,11.078306
-2.0,7,11.089899
61.0,7,11.101447
-10.0,7,11.113176
11.0,7,11.124709
-6.0,7,11.136228
