#{"t_start": 1764274548.2515202, "env_id": "None"}
r,l,t
-21.0,7,0.024379
14.0,7,0.039305
6.0,7,0.058539
1.0,7,0.073218
4.0,7,0.087784
19.0,7,0.107137
14.0,7,0.123785
12.0,7,0.142339
5.0,7,0.156624
-3.0,7,0.170825
-18.0,7,0.189755
7.0,7,0.204635
-6.0,7,0.227818
15.0,7,0.243926
9.0,7,0.258263
-1.0,7,0.277002
26.0,7,0.291304
0.0,7,0.310013
-23.0,7,0.326564
23.0,7,0.340944
17.0,7,0.359756
12.0,7,0.37417
-1.0,7,0.392554
-18.0,7,0.406559
5.0,7,0.422622
0.0,7,0.441079
-14.0,7,0.455141
18.0,7,0.473621
-17.0,7,0.487677
-7.0,7,0.501779
-16.0,7,0.522321
8.0,7,0.536941
-3.0,7,0.55576
31.0,7,0.570034
-2.0,7,0.584344
-16.0,7,0.602879
5.0,7,0.617219
22.0,7,0.638035
-25.0,7,0.652297
8.0,7,0.666444
-23.0,7,0.684921
2.0,7,0.699245
0.0,7,0.71809
1.0,7,0.734302
35.0,7,0.748538
-5.0,7,0.767236
0.0,7,0.781421
-16.0,7,0.799983
-25.0,7,0.814191
-6.0,7,0.831831
4.0,7,0.85091
-3.0,7,0.865193
7.0,7,0.883954
-21.0,7,0.898289
-25.0,7,0.912651
-24.0,7,0.933515
-22.0,7,0.948292
18.0,7,0.967069
17.0,7,0.981592
-8.0,7,0.99589
-3.0,7,1.014668
-6.0,7,1.031102
38.0,7,1.050549
3.0,7,1.064851
-13.0,7,1.079153
-22.0,7,1.098259
3.0,7,1.112916
1.0,7,1.134099
19.0,7,1.148687
-25.0,7,1.163045
-16.0,7,1.181967
-1.0,7,1.19924
-11.0,7,1.218031
-1.0,7,1.234498
3.0,7,1.248828
-16.0,7,1.267584
-4.0,7,1.28196
41.0,7,1.300755
1.0,7,1.315091
-7.0,7,1.330047
5.0,7,1.3522
-1.0,7,1.366513
-5.0,7,1.385455
-19.0,7,1.399795
-12.0,7,1.414173
-19.0,7,1.432982
-12.0,7,1.449264
-11.0,7,1.467926
-18.0,7,1.482258
-23.0,7,1.496558
-3.0,7,1.515406
-2.0,7,1.529628
-20.0,7,1.550391
18.0,7,1.564683
2.0,7,1.578998
2.0,7,1.597697
18.0,7,1.612043
17.0,7,1.631189
-6.0,7,1.647701
1.0,7,1.662097
-5.0,7,1.68085
0.0,7,1.695111
2.0,7,1.713809
21.0,7,1.728218
-21.0,7,1.744429
-16.0,7,1.763092
16.0,7,1.777385
0.0,7,1.796041
-3.0,7,1.810384
2.0,7,1.824858
-15.0,7,1.845815
-21.0,7,1.860253
1.0,7,1.87897
-2.0,7,1.893273
2.0,7,1.907513
-16.0,7,1.926173
5.0,7,1.940564
11.0,7,1.961376
-3.0,7,1.975777
10.0,7,1.990065
20.0,7,2.008816
17.0,7,2.023135
-4.0,7,2.041864
-7.0,7,2.058099
-14.0,7,2.072392
14.0,7,2.09113
14.0,7,2.1055
25.0,7,2.124412
-21.0,7,2.139935
1.0,7,2.156524
-6.0,7,2.175387
19.0,7,2.189641
43.0,7,2.208351
2.0,7,2.222648
-5.0,7,2.236879
-5.0,7,2.257328
0.0,7,2.271608
19.0,7,2.290427
14.0,7,2.304713
-3.0,7,2.319005
4.0,7,2.337772
2.0,7,2.352023
-12.0,7,2.375652
-4.0,7,2.389964
21.0,7,2.40414
-24.0,7,2.422849
-6.0,7,2.438349
26.0,7,2.459085
-11.0,7,2.473364
18.0,7,2.487633
-2.0,7,2.506421
5.0,7,2.520672
-17.0,7,2.539435
-10.0,7,2.553705
