#{"t_start": 1764267881.2353933, "env_id": "None"}
r,l,t
-5.0,7,0.008998
9.0,7,0.021256
21.0,7,0.033074
23.0,7,0.044852
-3.0,7,0.056545
-24.0,7,0.068269
-19.0,7,0.079967
-3.0,7,0.091864
27.0,7,0.103447
23.0,7,0.115065
23.0,7,0.12651
-15.0,7,0.137935
-15.0,7,0.149374
-10.0,7,0.160876
34.0,7,0.172767
-10.0,7,0.184445
-19.0,7,0.196213
42.0,7,0.208485
-3.0,7,0.220464
-11.0,7,0.232154
35.0,7,0.244615
-1.0,7,0.25626
18.0,7,0.267951
-19.0,7,0.279643
1.0,7,0.291539
-18.0,7,0.303287
-24.0,7,0.314948
20.0,7,0.326583
-25.0,7,0.33822
3.0,7,0.349883
2.0,7,0.361776
-2.0,7,0.374077
-19.0,7,0.386248
-4.0,7,0.398128
-12.0,7,0.4099
11.0,7,0.421487
-2.0,7,0.433087
11.0,7,0.444795
-7.0,7,0.456507
15.0,7,0.468313
5.0,7,0.479891
10.0,7,0.491539
16.0,7,0.50324
3.0,7,0.514938
-20.0,7,0.526524
-23.0,7,0.538153
-21.0,7,0.549831
28.0,7,0.561561
-21.0,7,0.573193
17.0,7,0.584802
15.0,7,0.596452
-19.0,7,0.60811
1.0,7,0.619869
12.0,7,0.631503
-10.0,7,0.643111
-5.0,7,0.654853
21.0,7,0.666559
-12.0,7,0.678119
37.0,7,0.68979
-16.0,7,0.703673
24.0,7,0.717455
28.0,7,0.731436
-4.0,7,0.743356
-25.0,7,0.755144
18.0,7,0.766928
-15.0,7,0.778635
19.0,7,0.790383
-16.0,7,0.802058
19.0,7,0.813687
-18.0,7,0.825346
22.0,7,0.837046
-3.0,7,0.848708
1.0,7,0.860495
1.0,7,0.872186
1.0,7,0.883853
-14.0,7,0.89559
-4.0,7,0.907344
-4.0,7,0.919176
-4.0,7,0.930979
17.0,7,0.942641
-2.0,7,0.954363
19.0,7,0.966035
24.0,7,0.977786
-13.0,7,0.989494
-4.0,7,1.001209
48.0,7,1.012973
-17.0,7,1.024631
-14.0,7,1.036313
-4.0,7,1.048055
-4.0,7,1.060034
14.0,7,1.07181
24.0,7,1.083527
0.0,7,1.095302
-3.0,7,1.10713
-4.0,7,1.118789
31.0,7,1.130379
-20.0,7,1.141948
5.0,7,1.153568
-1.0,7,1.165208
19.0,7,1.176988
58.0,7,1.188617
-5.0,7,1.200286
3.0,7,1.212155
15.0,7,1.223943
7.0,7,1.235586
38.0,7,1.249557
-22.0,7,1.261982
38.0,7,1.273573
10.0,7,1.285114
-4.0,7,1.296844
-9.0,7,1.308381
-4.0,7,1.320047
0.0,7,1.331675
-1.0,7,1.34327
-7.0,7,1.354949
-25.0,7,1.367056
-4.0,7,1.380722
15.0,7,1.392486
-4.0,7,1.404111
-6.0,7,1.415767
-2.0,7,1.42735
-7.0,7,1.439032
7.0,7,1.450769
4.0,7,1.462319
2.0,7,1.473952
-6.0,7,1.485557
6.0,7,1.497278
3.0,7,1.508957
-2.0,7,1.520563
-25.0,7,1.532213
-13.0,7,1.543855
2.0,7,1.555596
-24.0,7,1.567375
3.0,7,1.579355
60.0,7,1.591113
-1.0,7,1.602767
38.0,7,1.614493
-4.0,7,1.626114
1.0,7,1.637744
-3.0,7,1.649329
-15.0,7,1.660988
24.0,7,1.672614
-4.0,7,1.684183
-2.0,7,1.695845
-20.0,7,1.708071
-18.0,7,1.720423
-5.0,7,1.732464
-20.0,7,1.744262
-6.0,7,1.755988
22.0,7,1.767668
-4.0,7,1.779295
-23.0,7,1.790977
-6.0,7,1.802534
18.0,7,1.814153
-2.0,7,1.825753
-23.0,7,1.837356
-24.0,7,1.848932
17.0,7,1.860516
-6.0,7,1.872171
-4.0,7,1.883782
-3.0,7,1.895377
-25.0,7,1.907121
3.0,7,1.918763
6.0,7,1.930376
-14.0,7,1.942018
-10.0,7,1.953677
-16.0,7,1.965127
36.0,7,1.976777
-6.0,7,1.988479
40.0,7,2.000191
-6.0,7,2.011796
-25.0,7,2.023379
2.0,7,2.035783
18.0,7,2.048805
-3.0,7,2.060514
14.0,7,2.07211
20.0,7,2.08372
-4.0,7,2.09534
4.0,7,2.107672
13.0,7,2.120349
-4.0,7,2.132384
-20.0,7,2.144021
-25.0,7,2.155668
17.0,7,2.16729
-4.0,7,2.178926
-6.0,7,2.190612
17.0,7,2.202414
19.0,7,2.214203
-1.0,7,2.225975
-17.0,7,2.237624
-7.0,7,2.249269
-19.0,7,2.260998
23.0,7,2.272639
-2.0,7,2.286617
14.0,7,2.298448
-5.0,7,2.310035
14.0,7,2.321615
26.0,7,2.333245
-7.0,7,2.344835
-6.0,7,2.35639
-20.0,7,2.36803
-1.0,7,2.379566
-3.0,7,2.391212
42.0,7,2.402812
18.0,7,2.414359
35.0,7,2.425992
-7.0,7,2.437681
15.0,7,2.449446
-4.0,7,2.461124
4.0,7,2.472744
-24.0,7,2.484304
20.0,7,2.496055
15.0,7,2.507719
18.0,7,2.5193
18.0,7,2.530922
-15.0,7,2.542537
58.0,7,2.554122
-2.0,7,2.565966
29.0,7,2.577622
-6.0,7,2.589252
-19.0,7,2.60095
-24.0,7,2.612541
-1.0,7,2.624137
1.0,7,2.635819
-4.0,7,2.647485
-3.0,7,2.659045
-2.0,7,2.670714
-7.0,7,2.682328
17.0,7,2.693979
-6.0,7,2.705839
-7.0,7,2.717718
46.0,7,2.729548
-4.0,7,2.741547
3.0,7,2.753215
-19.0,7,2.765666
-7.0,7,2.777338
24.0,7,2.788882
-25.0,7,2.800378
41.0,7,2.811957
-25.0,7,2.823461
-20.0,7,2.834987
-24.0,7,2.846704
-6.0,7,2.85837
14.0,7,2.870167
-5.0,7,2.881967
-23.0,7,2.893621
-4.0,7,2.905359
-4.0,7,2.917027
-25.0,7,2.928662
61.0,7,2.940129
-1.0,7,2.951882
-5.0,7,2.963428
4.0,7,2.975025
-25.0,7,2.986584
-6.0,7,2.998164
26.0,7,3.009729
-19.0,7,3.021345
-20.0,7,3.033088
-25.0,7,3.044745
-25.0,7,3.056358
-6.0,7,3.067968
22.0,7,3.07946
29.0,7,3.090988
-15.0,7,3.102456
-3.0,7,3.113983
-25.0,7,3.125585
5.0,7,3.137148
-17.0,7,3.1488
-6.0,7,3.160336
11.0,7,3.171888
17.0,7,3.18343
-7.0,7,3.195018
-5.0,7,3.206577
-6.0,7,3.21834
-11.0,7,3.230044
-4.0,7,3.241648
-25.0,7,3.253208
-25.0,7,3.264859
-7.0,7,3.276497
-20.0,7,3.288158
-25.0,7,3.299775
-25.0,7,3.311359
15.0,7,3.322886
17.0,7,3.334353
-24.0,7,3.345794
-2.0,7,3.357313
-2.0,7,3.368882
10.0,7,3.380351
-25.0,7,3.392058
41.0,7,3.403486
-6.0,7,3.415012
-6.0,7,3.426608
14.0,7,3.438138
-10.0,7,3.449806
1.0,7,3.461375
4.0,7,3.473012
-19.0,7,3.484535
-25.0,7,3.496077
-7.0,7,3.507634
-18.0,7,3.519066
41.0,7,3.530661
-20.0,7,3.542123
-20.0,7,3.553661
-7.0,7,3.565545
14.0,7,3.577271
-25.0,7,3.588814
17.0,7,3.600294
86.0,7,3.611854
23.0,7,3.623365
-5.0,7,3.634876
-7.0,7,3.646419
-24.0,7,3.657968
-25.0,7,3.669513
-7.0,7,3.681068
41.0,7,3.692652
-1.0,7,3.704261
42.0,7,3.716107
14.0,7,3.727818
24.0,7,3.73937
-7.0,7,3.750928
-25.0,7,3.762341
0.0,7,3.773749
11.0,7,3.785311
-7.0,7,3.796943
-20.0,7,3.80844
41.0,7,3.819899
-25.0,7,3.831384
5.0,7,3.842905
17.0,7,3.854326
5.0,7,3.865792
-20.0,7,3.877259
-1.0,7,3.88878
40.0,7,3.900259
-24.0,7,3.911824
-20.0,7,3.923431
-19.0,7,3.934873
-25.0,7,3.946449
-7.0,7,3.957971
-7.0,7,3.969478
-4.0,7,3.980944
22.0,7,3.99259
-2.0,7,4.004087
-24.0,7,4.015497
28.0,7,4.026961
-25.0,7,4.038439
-20.0,7,4.049946
44.0,7,4.06145
-7.0,7,4.072953
14.0,7,4.084338
-15.0,7,4.095978
41.0,7,4.107503
-5.0,7,4.118944
79.0,7,4.130596
-23.0,7,4.142498
-15.0,7,4.154264
1.0,7,4.166111
-7.0,7,4.178327
0.0,7,4.189924
-2.0,7,4.201568
-24.0,7,4.213395
1.0,7,4.225081
40.0,7,4.236607
-25.0,7,4.248121
-19.0,7,4.259957
5.0,7,4.271747
-24.0,7,4.283368
-7.0,7,4.295123
25.0,7,4.306963
65.0,7,4.318683
-25.0,7,4.330327
-23.0,7,4.342001
-24.0,7,4.35366
-24.0,7,4.365304
-3.0,7,4.37701
-7.0,7,4.388787
-7.0,7,4.400474
-2.0,7,4.41217
-7.0,7,4.42386
-25.0,7,4.435561
-23.0,7,4.447468
-7.0,7,4.459309
-25.0,7,4.471081
-7.0,7,4.482819
-20.0,7,4.494579
-13.0,7,4.506331
0.0,7,4.518111
-4.0,7,4.529904
-7.0,7,4.541689
24.0,7,4.553485
-23.0,7,4.565443
0.0,7,4.577272
15.0,7,4.589069
-1.0,7,4.600751
67.0,7,4.612512
25.0,7,4.624223
1.0,7,4.636032
-7.0,7,4.647773
-19.0,7,4.659541
-6.0,7,4.671317
-4.0,7,4.683027
1.0,7,4.694817
-25.0,7,4.706608
-4.0,7,4.718386
11.0,7,4.730586
16.0,7,4.742594
14.0,7,4.75502
-20.0,7,4.767687
-15.0,7,4.782218
