#{"t_start": 1764199971.6522279, "env_id": "None"}
r,l,t
-4.0,7,0.008314
2.0,7,0.00928
-4.0,7,0.010189
-13.0,7,0.01102
0.0,7,0.014505
1.0,7,0.015389
-11.0,7,0.016241
18.0,7,0.017054
-23.0,7,0.020437
-15.0,7,0.021318
-18.0,7,0.022177
-1.0,7,0.022995
2.0,7,0.02641
3.0,7,0.027321
-6.0,7,0.027985
-20.0,7,0.028789
17.0,7,0.032204
20.0,7,0.033106
-20.0,7,0.034008
32.0,7,0.034854
24.0,7,0.038232
3.0,7,0.039159
-3.0,7,0.040056
15.0,7,0.040913
32.0,7,0.044308
-16.0,7,0.045223
-17.0,7,0.046115
7.0,7,0.046961
-21.0,7,0.050351
-3.0,7,0.051265
2.0,7,0.052158
2.0,7,0.052998
0.0,7,0.056333
13.0,7,0.057223
-3.0,7,0.058082
14.0,7,0.058928
60.0,7,0.062341
25.0,7,0.063267
4.0,7,0.06416
21.0,7,0.064998
13.0,7,0.068397
34.0,7,0.06932
15.0,7,0.070271
-2.0,7,0.071143
-8.0,7,0.074602
10.0,7,0.075515
-22.0,7,0.076404
0.0,7,0.077254
20.0,7,0.080691
-7.0,7,0.081579
-19.0,7,0.082468
-14.0,7,0.083328
8.0,7,0.086776
7.0,7,0.087683
2.0,7,0.088555
0.0,7,0.08937
11.0,7,0.092814
-13.0,7,0.093701
16.0,7,0.094587
1.0,7,0.095409
-3.0,7,0.098855
-3.0,7,0.099788
18.0,7,0.10069
-17.0,7,0.101506
2.0,7,0.105029
17.0,7,0.105962
4.0,7,0.106854
-1.0,7,0.109773
-5.0,7,0.113341
-11.0,7,0.114249
0.0,7,0.115116
18.0,7,0.115939
-4.0,7,0.119439
30.0,7,0.120354
2.0,7,0.121207
1.0,7,0.122051
2.0,7,0.125469
6.0,7,0.126393
-24.0,7,0.127291
1.0,7,0.128122
-24.0,7,0.131573
2.0,7,0.132396
18.0,7,0.133292
-19.0,7,0.134152
0.0,7,0.137603
-24.0,7,0.138508
-21.0,7,0.139375
-19.0,7,0.140207
43.0,7,0.143672
3.0,7,0.144559
-16.0,7,0.145396
5.0,7,0.146173
-1.0,7,0.149688
1.0,7,0.150609
-3.0,7,0.151498
-24.0,7,0.152346
-20.0,7,0.155868
26.0,7,0.156759
-1.0,7,0.157629
7.0,7,0.158383
-17.0,7,0.161837
2.0,7,0.162675
-1.0,7,0.163512
-1.0,7,0.164345
-17.0,7,0.167792
12.0,7,0.168642
-16.0,7,0.169507
-4.0,7,0.170347
20.0,7,0.173828
34.0,7,0.174749
-16.0,7,0.175589
7.0,7,0.176395
19.0,7,0.179877
33.0,7,0.180781
-21.0,7,0.18163
-16.0,7,0.182391
-11.0,7,0.185848
1.0,7,0.186765
5.0,7,0.187621
-24.0,7,0.188426
25.0,7,0.191898
-3.0,7,0.192818
22.0,7,0.19369
-5.0,7,0.194513
-13.0,7,0.197977
1.0,7,0.198892
20.0,7,0.199776
5.0,7,0.200492
0.0,7,0.203923
2.0,7,0.204886
5.0,7,0.205796
29.0,7,0.206586
-6.0,7,0.210034
21.0,7,0.210942
38.0,7,0.211846
7.0,7,0.212704
2.0,7,0.218228
5.0,7,0.219129
1.0,7,0.220033
-16.0,7,0.220876
-17.0,7,0.224298
12.0,7,0.225223
5.0,7,0.227099
-24.0,7,0.232208
1.0,7,0.241886
-4.0,7,0.247948
-16.0,7,0.254804
0.0,7,0.258253
-16.0,7,0.267576
-1.0,7,0.274047
56.0,7,0.280961
10.0,7,0.285899
-4.0,7,0.295343
-11.0,7,0.301735
15.0,7,0.308005
-24.0,7,0.311498
0.0,7,0.323298
5.0,7,0.329222
4.0,7,0.335101
16.0,7,0.338526
-5.0,7,0.34775
10.0,7,0.353552
5.0,7,0.35984
48.0,7,0.364236
-6.0,7,0.373048
42.0,7,0.379297
1.0,7,0.385761
4.0,7,0.389696
-7.0,7,0.398837
16.0,7,0.404859
18.0,7,0.410756
39.0,7,0.415082
-6.0,7,0.426324
-24.0,7,0.432262
-6.0,7,0.438273
-5.0,7,0.442241
2.0,7,0.45201
-6.0,7,0.457943
-3.0,7,0.464843
38.0,7,0.468287
-2.0,7,0.478634
40.0,7,0.485811
19.0,7,0.492792
-18.0,7,0.497168
17.0,7,0.507295
-11.0,7,0.51367
-6.0,7,0.522423
15.0,7,0.526424
-4.0,7,0.535678
13.0,7,0.541609
18.0,7,0.54806
45.0,7,0.551986
4.0,7,0.562157
5.0,7,0.568447
22.0,7,0.575009
-24.0,7,0.578796
36.0,7,0.588658
-21.0,7,0.595521
-4.0,7,0.602508
17.0,7,0.606074
3.0,7,0.615663
-21.0,7,0.622021
20.0,7,0.631478
19.0,7,0.635134
21.0,7,0.644968
-16.0,7,0.650737
18.0,7,0.656427
2.0,7,0.660265
-7.0,7,0.67027
-3.0,7,0.677938
-23.0,7,0.684794
-21.0,7,0.688692
17.0,7,0.698918
30.0,7,0.705789
39.0,7,0.71271
1.0,7,0.716176
-3.0,7,0.727284
-25.0,7,0.735564
-3.0,7,0.742125
-3.0,7,0.745594
-11.0,7,0.75498
18.0,7,0.761589
-16.0,7,0.767518
-18.0,7,0.771893
-16.0,7,0.780913
-2.0,7,0.787561
-25.0,7,0.793816
2.0,7,0.798192
-4.0,7,0.806872
-4.0,7,0.813796
-18.0,7,0.820508
-2.0,7,0.824404
36.0,7,0.83527
-3.0,7,0.841198
-7.0,7,0.848005
-24.0,7,0.851453
-15.0,7,0.861066
-21.0,7,0.867339
-22.0,7,0.87466
25.0,7,0.878117
-21.0,7,0.88772
15.0,7,0.89446
-2.0,7,0.900787
-4.0,7,0.904716
-16.0,7,0.913958
-14.0,7,0.919846
0.0,7,0.926133
21.0,7,0.932107
-22.0,7,0.941309
-2.0,7,0.947971
30.0,7,0.955125
0.0,7,0.96059
0.0,7,0.970914
-3.0,7,0.977726
-22.0,7,0.984107
-11.0,7,0.987592
-5.0,7,0.998163
23.0,7,1.004012
-17.0,7,1.010777
10.0,7,1.015161
-12.0,7,1.024624
-1.0,7,1.030911
-1.0,7,1.038823
-17.0,7,1.042269
-4.0,7,1.051505
-7.0,7,1.058335
-2.0,7,1.064151
4.0,7,1.068576
26.0,7,1.077199
-4.0,7,1.083008
3.0,7,1.088813
36.0,7,1.092764
-3.0,7,1.10216
-7.0,7,1.109454
23.0,7,1.116236
-3.0,7,1.120349
-20.0,7,1.129948
25.0,7,1.138934
1.0,7,1.145802
25.0,7,1.149738
54.0,7,1.159901
22.0,7,1.166258
-10.0,7,1.172664
-18.0,7,1.17797
2.0,7,1.188096
3.0,7,1.194745
-3.0,7,1.201052
-2.0,7,1.204818
23.0,7,1.214062
-1.0,7,1.220376
-22.0,7,1.226792
-4.0,7,1.23171
-5.0,7,1.242851
27.0,7,1.249263
-4.0,7,1.257144
-5.0,7,1.261554
0.0,7,1.270714
8.0,7,1.276518
18.0,7,1.282297
19.0,7,1.28616
1.0,7,1.295286
-3.0,7,1.302944
19.0,7,1.309155
1.0,7,1.314069
-17.0,7,1.324079
4.0,7,1.330894
-16.0,7,1.33707
-24.0,7,1.342903
-2.0,7,1.352952
-22.0,7,1.360632
-15.0,7,1.366382
-21.0,7,1.371196
-4.0,7,1.383211
-20.0,7,1.39049
5.0,7,1.398944
-10.0,7,1.403488
9.0,7,1.414412
-15.0,7,1.42164
15.0,7,1.42859
-22.0,7,1.433425
-3.0,7,1.446107
-2.0,7,1.453457
-3.0,7,1.460824
-1.0,7,1.465148
-4.0,7,1.474749
3.0,7,1.481055
-18.0,7,1.488691
-1.0,7,1.492628
-25.0,7,1.502194
-19.0,7,1.509957
-4.0,7,1.517196
-2.0,7,1.521107
