#{"t_start": 1764274847.1074586, "env_id": "None"}
r,l,t
-22.0,7,0.026832
-2.0,7,0.041254
23.0,7,0.059921
-21.0,7,0.074087
-3.0,7,0.088449
-16.0,7,0.107131
-11.0,7,0.1234
-21.0,7,0.142019
-14.0,7,0.156276
-18.0,7,0.170388
-18.0,7,0.188953
-19.0,7,0.203469
2.0,7,0.223973
-5.0,7,0.238821
21.0,7,0.253826
5.0,7,0.273911
5.0,7,0.28821
5.0,7,0.306842
-16.0,7,0.323624
-25.0,7,0.338052
5.0,7,0.356705
19.0,7,0.370981
2.0,7,0.389574
8.0,7,0.403822
-4.0,7,0.419854
-1.0,7,0.438518
-17.0,7,0.452514
22.0,7,0.471247
-18.0,7,0.485491
-4.0,7,0.499709
-2.0,7,0.520477
-3.0,7,0.535482
-2.0,7,0.556001
-3.0,7,0.570456
-3.0,7,0.584582
-4.0,7,0.603131
6.0,7,0.617368
-11.0,7,0.637891
11.0,7,0.65209
22.0,7,0.666279
62.0,7,0.68497
2.0,7,0.69936
6.0,7,0.718411
14.0,7,0.735082
10.0,7,0.749392
5.0,7,0.768086
2.0,7,0.782507
-4.0,7,0.801306
1.0,7,0.81575
-3.0,7,0.832003
35.0,7,0.85257
26.0,7,0.867182
0.0,7,0.88599
19.0,7,0.900188
-18.0,7,0.914366
-15.0,7,0.934901
-15.0,7,0.949076
44.0,7,0.967638
18.0,7,0.981796
22.0,7,0.995951
-2.0,7,1.014502
9.0,7,1.030661
-2.0,7,1.049391
-24.0,7,1.063544
-5.0,7,1.07787
-24.0,7,1.096628
15.0,7,1.110888
39.0,7,1.129413
-21.0,7,1.146012
38.0,7,1.160717
-24.0,7,1.179445
-4.0,7,1.196826
-13.0,7,1.215611
1.0,7,1.229943
-23.0,7,1.246235
18.0,7,1.264856
5.0,7,1.279163
2.0,7,1.297812
39.0,7,1.311997
-11.0,7,1.326103
14.0,7,1.346658
19.0,7,1.360852
17.0,7,1.379347
-17.0,7,1.39357
60.0,7,1.407613
0.0,7,1.426131
11.0,7,1.443484
0.0,7,1.462487
33.0,7,1.476735
5.0,7,1.490808
20.0,7,1.509351
18.0,7,1.523534
21.0,7,1.54424
42.0,7,1.558617
7.0,7,1.572993
-15.0,7,1.591705
3.0,7,1.605879
-6.0,7,1.62441
-12.0,7,1.638639
-15.0,7,1.654839
6.0,7,1.673193
-17.0,7,1.687354
-16.0,7,1.706284
-21.0,7,1.720991
-15.0,7,1.73571
-1.0,7,1.757199
-25.0,7,1.771813
5.0,7,1.790507
29.0,7,1.805059
-1.0,7,1.819457
-9.0,7,1.838065
-6.0,7,1.8541
2.0,7,1.872629
19.0,7,1.886803
-17.0,7,1.900948
3.0,7,1.919484
5.0,7,1.933611
-18.0,7,1.954107
17.0,7,1.968273
-21.0,7,1.982412
-24.0,7,2.000957
18.0,7,2.015161
-7.0,7,2.033677
-12.0,7,2.048205
3.0,7,2.064651
-11.0,7,2.083462
-11.0,7,2.097752
25.0,7,2.116375
-17.0,7,2.130508
-20.0,7,2.144726
18.0,7,2.165145
-4.0,7,2.179351
2.0,7,2.197891
17.0,7,2.212078
3.0,7,2.226285
-15.0,7,2.245008
21.0,7,2.261676
-21.0,7,2.280441
-1.0,7,2.294738
15.0,7,2.308938
3.0,7,2.327612
-22.0,7,2.341822
-24.0,7,2.365493
-6.0,7,2.379756
-2.0,7,2.394032
-6.0,7,2.412663
2.0,7,2.426854
23.0,7,2.445449
-23.0,7,2.459625
37.0,7,2.475778
-19.0,7,2.494739
-11.0,7,2.508966
-21.0,7,2.527609
-17.0,7,2.541936
23.0,7,2.556684
-22.0,7,2.578396
0.0,7,2.592833
-23.0,7,2.611701
-2.0,7,2.626005
1.0,7,2.640151
2.0,7,2.658759
-4.0,7,2.675067
2.0,7,2.693727
-11.0,7,2.708328
20.0,7,2.723019
22.0,7,2.741866
26.0,7,2.756122
37.0,7,2.776796
18.0,7,2.791101
-3.0,7,2.805591
-1.0,7,2.824646
-16.0,7,2.838974
-3.0,7,2.858526
-14.0,7,2.874714
-11.0,7,2.889083
-19.0,7,2.907911
-22.0,7,2.922315
-2.0,7,2.941084
21.0,7,2.955335
62.0,7,2.969708
-17.0,7,2.990378
-12.0,7,3.004764
-21.0,7,3.023424
-14.0,7,3.037962
8.0,7,3.052303
42.0,7,3.071091
14.0,7,3.087512
-7.0,7,3.106328
22.0,7,3.120578
13.0,7,3.134798
1.0,7,3.153867
14.0,7,3.168558
-12.0,7,3.189194
23.0,7,3.203688
-20.0,7,3.218039
-16.0,7,3.236708
-4.0,7,3.251008
2.0,7,3.269748
2.0,7,3.285985
25.0,7,3.300266
-3.0,7,3.318886
-13.0,7,3.333171
17.0,7,3.351858
-16.0,7,3.366074
-2.0,7,3.382117
-3.0,7,3.400723
-6.0,7,3.414979
-12.0,7,3.433587
-18.0,7,3.448201
-17.0,7,3.462693
-19.0,7,3.483238
23.0,7,3.497452
-4.0,7,3.51609
-3.0,7,3.530301
-10.0,7,3.549007
19.0,7,3.568601
5.0,7,3.585396
-15.0,7,3.604458
-2.0,7,3.618937
0.0,7,3.633541
20.0,7,3.652202
-3.0,7,3.666427
-6.0,7,3.687215
23.0,7,3.701812
6.0,7,3.716049
3.0,7,3.735542
-2.0,7,3.750447
5.0,7,3.769651
-25.0,7,3.784124
-7.0,7,3.800614
-16.0,7,3.819908
-18.0,7,3.834407
5.0,7,3.853523
25.0,7,3.867863
45.0,7,3.882016
-16.0,7,3.902706
47.0,7,3.91692
11.0,7,3.93584
-6.0,7,3.950396
22.0,7,3.96484
-3.0,7,3.983588
-2.0,7,3.999847
20.0,7,4.018449
-2.0,7,4.032724
3.0,7,4.046984
0.0,7,4.065672
-15.0,7,4.080015
36.0,7,4.100758
