#{"t_start": 1764275061.9370356, "env_id": "None"}
r,l,t
2.0,7,0.017344
6.0,7,0.027045
-2.0,7,0.041954
18.0,7,0.051618
-6.0,7,0.061205
-16.0,7,0.075452
11.0,7,0.085091
-16.0,7,0.094608
-1.0,7,0.110765
-19.0,7,0.120353
15.0,7,0.129975
3.0,7,0.144188
-20.0,7,0.153863
10.0,7,0.163446
-3.0,7,0.177741
-16.0,7,0.187306
0.0,7,0.196982
5.0,7,0.213013
18.0,7,0.222548
15.0,7,0.232491
-12.0,7,0.24696
6.0,7,0.256682
11.0,7,0.270935
-16.0,7,0.280612
5.0,7,0.290262
26.0,7,0.304464
-16.0,7,0.316
-3.0,7,0.325601
2.0,7,0.339916
-11.0,7,0.349559
15.0,7,0.359191
-1.0,7,0.373395
-6.0,7,0.383063
-24.0,7,0.392719
-2.0,7,0.406932
10.0,7,0.418402
2.0,7,0.428097
2.0,7,0.442189
27.0,7,0.451933
1.0,7,0.461521
5.0,7,0.475774
-2.0,7,0.485355
-3.0,7,0.499504
-22.0,7,0.509176
-22.0,7,0.520763
0.0,7,0.535345
23.0,7,0.545361
-1.0,7,0.554964
-12.0,7,0.569131
18.0,7,0.578775
6.0,7,0.588393
-9.0,7,0.602516
2.0,7,0.612101
-24.0,7,0.623683
-21.0,7,0.637971
18.0,7,0.647666
2.0,7,0.657244
36.0,7,0.671546
24.0,7,0.68117
-16.0,7,0.6907
24.0,7,0.704862
22.0,7,0.714465
-6.0,7,0.730634
15.0,7,0.740581
20.0,7,0.750508
5.0,7,0.764812
-11.0,7,0.774463
0.0,7,0.784078
15.0,7,0.798311
46.0,7,0.807981
20.0,7,0.817597
-23.0,7,0.83377
-3.0,7,0.843403
-7.0,7,0.853065
25.0,7,0.867284
-16.0,7,0.876951
5.0,7,0.886614
-3.0,7,0.900876
0.0,7,0.91048
44.0,7,0.920091
-20.0,7,0.936225
-1.0,7,0.94594
22.0,7,0.960233
-4.0,7,0.969915
-11.0,7,0.979521
10.0,7,0.993817
19.0,7,1.003456
2.0,7,1.013075
-19.0,7,1.0292
-25.0,7,1.039354
