#{"t_start": 1764361478.9211903, "env_id": "None"}
r,l,t
5.0,7,5.66378
-4.0,7,5.673609
2.0,7,5.683392
17.0,7,5.693192
-3.0,7,5.702852
-3.0,7,5.712527
-2.0,7,5.724335
-12.0,7,5.734002
-22.0,7,5.743689
5.0,7,5.753371
-5.0,7,5.763071
10.0,7,5.772677
-1.0,7,5.782266
3.0,7,5.791857
0.0,7,5.801421
-2.0,7,5.810918
21.0,7,5.822632
-1.0,7,5.832328
-1.0,7,5.84193
0.0,7,5.851572
-1.0,7,5.861232
-20.0,7,5.870884
-3.0,7,5.880624
1.0,7,5.890293
-12.0,7,5.899968
17.0,7,5.909593
-15.0,7,5.919158
2.0,7,5.930715
21.0,7,5.940326
-4.0,7,5.949993
-4.0,7,5.95964
-4.0,7,5.969388
14.0,7,5.979047
-4.0,7,5.988678
0.0,7,5.998444
-3.0,7,6.00811
-1.0,7,6.017804
-6.0,7,6.029634
-6.0,7,6.039263
-2.0,7,6.049017
3.0,7,6.058681
-3.0,7,6.068264
-4.0,7,6.077904
6.0,7,6.087716
2.0,7,6.09738
-20.0,7,6.107004
-4.0,7,6.116709
-16.0,7,6.128281
0.0,7,6.1379
1.0,7,6.147807
-1.0,7,6.157738
8.0,7,6.167654
29.0,7,6.177231
-5.0,7,6.186823
6.0,7,6.196515
22.0,7,6.206114
6.0,7,6.215775
37.0,7,6.225368
5.0,7,6.23704
-3.0,7,6.246644
-1.0,7,6.256194
4.0,7,6.265892
-11.0,7,6.276167
1.0,7,6.288144
-20.0,7,6.300028
11.0,7,6.311935
20.0,7,6.323695
-3.0,7,6.337535
-4.0,7,6.349377
34.0,7,6.361202
-16.0,7,6.372884
1.0,7,6.384674
0.0,7,6.396575
21.0,7,6.40838
-1.0,7,6.420153
-11.0,7,6.433939
-2.0,7,6.44578
23.0,7,6.457469
3.0,7,6.469266
-13.0,7,6.480218
1.0,7,6.489845
18.0,7,6.499375
17.0,7,6.508997
20.0,7,6.518561
-4.0,7,6.528145
-2.0,7,6.53966
38.0,7,6.549284
35.0,7,6.558827
0.0,7,6.568214
-3.0,7,6.57772
10.0,7,6.58735
-2.0,7,6.596941
8.0,7,6.606486
22.0,7,6.616019
2.0,7,6.625422
38.0,7,6.634959
-1.0,7,6.646613
21.0,7,6.656201
18.0,7,6.665699
-23.0,7,6.675472
-22.0,7,6.685018
-20.0,7,6.694613
-2.0,7,6.704242
-1.0,7,6.713843
-16.0,7,6.723465
-24.0,7,6.732995
-6.0,7,6.744882
23.0,7,6.754393
23.0,7,6.763903
2.0,7,6.773457
-14.0,7,6.782986
19.0,7,6.792572
