#{"t_start": 1764199771.5513716, "env_id": "None"}
r,l,t
3.0,7,0.008223
39.0,7,0.009138
2.0,7,0.010031
2.0,7,0.010878
26.0,7,0.014369
18.0,7,0.015279
2.0,7,0.016168
19.0,7,0.016983
-21.0,7,0.020369
-11.0,7,0.021282
-2.0,7,0.022161
36.0,7,0.023042
0.0,7,0.026484
2.0,7,0.027384
9.0,7,0.028251
12.0,7,0.029061
-16.0,7,0.032456
7.0,7,0.033326
-3.0,7,0.03423
-3.0,7,0.035071
21.0,7,0.038511
18.0,7,0.039427
-7.0,7,0.04031
-11.0,7,0.041145
-2.0,7,0.044571
21.0,7,0.045464
28.0,7,0.046324
-3.0,7,0.047161
-16.0,7,0.050605
5.0,7,0.051488
2.0,7,0.052343
-18.0,7,0.053172
-18.0,7,0.056598
3.0,7,0.057569
-22.0,7,0.058444
36.0,7,0.059282
-2.0,7,0.062734
12.0,7,0.063648
38.0,7,0.064553
-3.0,7,0.065385
-15.0,7,0.068902
12.0,7,0.069818
-3.0,7,0.070727
-4.0,7,0.071579
-21.0,7,0.074997
-4.0,7,0.075927
-1.0,7,0.076811
-25.0,7,0.077646
16.0,7,0.081134
-4.0,7,0.082068
41.0,7,0.082977
-16.0,7,0.083776
-12.0,7,0.087188
2.0,7,0.088115
-15.0,7,0.088993
17.0,7,0.089846
-3.0,7,0.093275
-21.0,7,0.094187
-16.0,7,0.095065
8.0,7,0.095905
2.0,7,0.099332
-12.0,7,0.100218
-22.0,7,0.101085
-9.0,7,0.101926
-23.0,7,0.105376
8.0,7,0.106341
18.0,7,0.107243
2.0,7,0.11009
12.0,7,0.113662
26.0,7,0.114594
3.0,7,0.115473
-1.0,7,0.116316
4.0,7,0.119813
-16.0,7,0.120724
7.0,7,0.12162
-19.0,7,0.122442
6.0,7,0.125917
5.0,7,0.126885
7.0,7,0.127787
25.0,7,0.128646
-16.0,7,0.132072
-5.0,7,0.133019
-16.0,7,0.133903
1.0,7,0.134754
1.0,7,0.138212
-1.0,7,0.13912
19.0,7,0.140014
16.0,7,0.140858
1.0,7,0.144284
-20.0,7,0.145172
0.0,7,0.146059
-24.0,7,0.146901
8.0,7,0.150294
2.0,7,0.151235
-6.0,7,0.152138
-3.0,7,0.15295
-7.0,7,0.156414
19.0,7,0.157283
-1.0,7,0.158116
39.0,7,0.158943
-21.0,7,0.162356
36.0,7,0.16329
-4.0,7,0.164185
15.0,7,0.164999
7.0,7,0.168456
-20.0,7,0.169364
