#{"t_start": 1764361592.7422833, "env_id": "None"}
r,l,t
-16.0,7,0.019231
-2.0,7,0.028917
-25.0,7,0.038536
-19.0,7,0.048156
3.0,7,0.057733
18.0,7,0.067308
-25.0,7,0.076921
5.0,7,0.086516
3.0,7,0.096134
46.0,7,0.105701
-1.0,7,0.117473
20.0,7,0.126976
-21.0,7,0.136589
23.0,7,0.146156
39.0,7,0.155716
-1.0,7,0.165294
-10.0,7,0.174889
-21.0,7,0.18441
39.0,7,0.194016
-20.0,7,0.203584
41.0,7,0.215309
3.0,7,0.224756
18.0,7,0.234266
4.0,7,0.243795
13.0,7,0.253311
16.0,7,0.262864
-7.0,7,0.2724
22.0,7,0.281971
15.0,7,0.291572
6.0,7,0.30105
5.0,7,0.310604
-24.0,7,0.322208
-17.0,7,0.331723
-4.0,7,0.341228
-16.0,7,0.350781
14.0,7,0.36027
20.0,7,0.369744
-4.0,7,0.379192
-2.0,7,0.388703
-16.0,7,0.39817
-24.0,7,0.407959
25.0,7,0.419582
19.0,7,0.431167
2.0,7,0.443072
-11.0,7,0.454958
-1.0,7,0.466746
-17.0,7,0.476372
-15.0,7,0.486014
-24.0,7,0.495551
-16.0,7,0.505102
0.0,7,0.514725
1.0,7,0.526444
-4.0,7,0.536051
-22.0,7,0.545712
-6.0,7,0.557301
-16.0,7,0.567842
-17.0,7,0.577442
20.0,7,0.587088
0.0,7,0.596722
-3.0,7,0.606686
-3.0,7,0.616284
-23.0,7,0.627967
-17.0,7,0.637537
-1.0,7,0.647123
7.0,7,0.656667
22.0,7,0.666273
16.0,7,0.676222
38.0,7,0.68602
-23.0,7,0.696495
39.0,7,0.706101
-3.0,7,0.7166
-2.0,7,0.728646
-25.0,7,0.738311
39.0,7,0.747891
42.0,7,0.757478
-17.0,7,0.766986
-20.0,7,0.776529
0.0,7,0.786041
13.0,7,0.795624
11.0,7,0.80515
-3.0,7,0.8147
-1.0,7,0.826451
2.0,7,0.836043
4.0,7,0.845585
19.0,7,0.855264
1.0,7,0.864793
-1.0,7,0.874393
-1.0,7,0.883893
7.0,7,0.893548
23.0,7,0.90315
-3.0,7,0.912654
4.0,7,0.922239
-17.0,7,0.93452
18.0,7,0.944203
20.0,7,0.953846
19.0,7,0.96325
-19.0,7,0.972664
-5.0,7,0.982108
-3.0,7,0.991836
-18.0,7,1.001488
-3.0,7,1.010906
0.0,7,1.020289
8.0,7,1.032079
-1.0,7,1.041521
-23.0,7,1.050878
19.0,7,1.060274
-12.0,7,1.0697
7.0,7,1.079395
-1.0,7,1.089633
-3.0,7,1.099695
1.0,7,1.109124
19.0,7,1.119216
51.0,7,1.132045
40.0,7,1.144097
-15.0,7,1.155893
-2.0,7,1.167867
18.0,7,1.179655
-2.0,7,1.191361
17.0,7,1.201277
-3.0,7,1.211126
48.0,7,1.220613
3.0,7,1.230145
-21.0,7,1.241932
0.0,7,1.251465
0.0,7,1.261002
-24.0,7,1.27054
36.0,7,1.280081
-25.0,7,1.290236
-13.0,7,1.30005
-3.0,7,1.309871
15.0,7,1.319417
-25.0,7,1.329033
17.0,7,1.340795
-18.0,7,1.350415
-18.0,7,1.360005
-7.0,7,1.369573
-21.0,7,1.379117
-3.0,7,1.388888
5.0,7,1.39845
28.0,7,1.408067
22.0,7,1.417609
10.0,7,1.427184
19.0,7,1.436758
-20.0,7,1.448484
18.0,7,1.458023
-19.0,7,1.467533
17.0,7,1.477031
-16.0,7,1.486503
0.0,7,1.496571
-3.0,7,1.506548
22.0,7,1.516043
4.0,7,1.525576
26.0,7,1.535105
11.0,7,1.546818
-3.0,7,1.556186
5.0,7,1.56565
-3.0,7,1.575231
-5.0,7,1.584684
39.0,7,1.594593
22.0,7,1.604347
-15.0,7,1.613858
-6.0,7,1.623378
-6.0,7,1.632896
25.0,7,1.644457
5.0,7,1.65404
10.0,7,1.663506
2.0,7,1.673041
1.0,7,1.682511
18.0,7,1.692693
21.0,7,1.70252
-23.0,7,1.712245
-4.0,7,1.721726
-13.0,7,1.731258
21.0,7,1.740943
-2.0,7,1.752537
2.0,7,1.762037
19.0,7,1.771546
2.0,7,1.781104
1.0,7,1.790833
-18.0,7,1.800426
-3.0,7,1.809904
-4.0,7,1.819444
-1.0,7,1.829062
-1.0,7,1.838547
-7.0,7,1.850239
10.0,7,1.859678
-6.0,7,1.869179
25.0,7,1.878684
0.0,7,1.888187
3.0,7,1.898192
-3.0,7,1.907714
0.0,7,1.917261
-2.0,7,1.926791
-9.0,7,1.936249
-11.0,7,1.94576
26.0,7,1.957433
2.0,7,1.96695
-20.0,7,1.976429
-2.0,7,1.985941
0.0,7,1.995708
-3.0,7,2.005423
19.0,7,2.015171
20.0,7,2.024704
-16.0,7,2.034156
1.0,7,2.043667
1.0,7,2.055348
4.0,7,2.064851
-20.0,7,2.074392
5.0,7,2.083896
-1.0,7,2.093797
3.0,7,2.103586
-16.0,7,2.113146
15.0,7,2.12264
43.0,7,2.132246
-2.0,7,2.141801
21.0,7,2.151295
-19.0,7,2.162892
-13.0,7,2.172439
-4.0,7,2.182002
-4.0,7,2.191757
-7.0,7,2.201427
-24.0,7,2.210981
-11.0,7,2.220513
-18.0,7,2.230105
21.0,7,2.239609
-5.0,7,2.249094
-4.0,7,2.260665
4.0,7,2.270181
4.0,7,2.279691
-16.0,7,2.2892
16.0,7,2.299295
-3.0,7,2.308866
59.0,7,2.31846
-14.0,7,2.328277
3.0,7,2.337847
-20.0,7,2.347551
0.0,7,2.359424
-2.0,7,2.369104
-6.0,7,2.378739
-4.0,7,2.388432
-23.0,7,2.398356
5.0,7,2.408227
24.0,7,2.418036
3.0,7,2.427613
-1.0,7,2.437213
19.0,7,2.446793
-17.0,7,2.456306
24.0,7,2.467901
11.0,7,2.477435
-3.0,7,2.487017
0.0,7,2.4968
21.0,7,2.506537
16.0,7,2.516064
20.0,7,2.525572
13.0,7,2.535148
-2.0,7,2.544584
-15.0,7,2.554081
40.0,7,2.565757
-6.0,7,2.57534
-16.0,7,2.584812
18.0,7,2.594503
0.0,7,2.604087
7.0,7,2.613588
10.0,7,2.623069
39.0,7,2.632579
-23.0,7,2.642133
8.0,7,2.65163
7.0,7,2.661148
-5.0,7,2.67286
-19.0,7,2.682688
-6.0,7,2.692282
-12.0,7,2.702497
-3.0,7,2.712175
-18.0,7,2.721694
-6.0,7,2.731269
-5.0,7,2.740822
3.0,7,2.750354
6.0,7,2.759891
1.0,7,2.771551
3.0,7,2.781128
3.0,7,2.79067
-3.0,7,2.80055
-16.0,7,2.810088
-21.0,7,2.819498
14.0,7,2.829033
-19.0,7,2.838548
15.0,7,2.848105
56.0,7,2.857673
1.0,7,2.867234
16.0,7,2.879117
-4.0,7,2.888691
-14.0,7,2.898521
-11.0,7,4.283253
2.0,7,4.292793
5.0,7,4.304994
5.0,7,4.314893
15.0,7,4.324483
44.0,7,4.333971
-17.0,7,4.343401
-19.0,7,4.352855
31.0,7,4.362248
-24.0,7,4.371674
10.0,7,4.381024
-3.0,7,4.3904
0.0,7,4.399738
