#{"t_start": 1764267546.0040903, "env_id": "None"}
r,l,t
-3.0,7,0.009231
9.0,7,0.02177
19.0,7,0.03352
7.0,7,0.04533
22.0,7,0.057336
21.0,7,0.069297
-2.0,7,0.081154
-21.0,7,0.092752
-16.0,7,0.104395
26.0,7,0.116126
-16.0,7,0.127681
15.0,7,0.139606
0.0,7,0.151465
-17.0,7,0.16335
36.0,7,0.175122
-21.0,7,0.186775
-5.0,7,0.198518
-6.0,7,0.210202
1.0,7,0.221822
-3.0,7,0.233399
-18.0,7,0.245072
39.0,7,0.256727
-3.0,7,0.268413
-24.0,7,0.280185
2.0,7,0.293167
8.0,7,0.306341
0.0,7,0.318528
-16.0,7,0.330435
-3.0,7,0.342082
-4.0,7,0.353737
1.0,7,0.365312
13.0,7,0.37692
22.0,7,0.388556
-21.0,7,0.400063
15.0,7,0.411804
-3.0,7,0.425606
26.0,7,0.43764
4.0,7,0.449383
-15.0,7,0.461173
24.0,7,0.472791
18.0,7,0.484497
18.0,7,0.496212
-16.0,7,0.507864
-25.0,7,0.519555
-23.0,7,0.53114
-4.0,7,0.542745
2.0,7,0.554351
21.0,7,0.565884
-19.0,7,0.577475
-2.0,7,0.589147
-16.0,7,0.601224
1.0,7,0.613051
-5.0,7,0.624664
-15.0,7,0.636369
0.0,7,0.648018
-11.0,7,0.659784
2.0,7,0.671477
19.0,7,0.683329
0.0,7,0.695049
-1.0,7,0.706669
2.0,7,0.718403
-21.0,7,0.730036
-3.0,7,0.741628
30.0,7,0.753246
-12.0,7,0.764864
5.0,7,0.776408
-11.0,7,0.78806
6.0,7,0.799594
38.0,7,0.812672
-11.0,7,0.825503
-23.0,7,0.838519
-1.0,7,0.850279
2.0,7,0.861953
-21.0,7,0.873655
-10.0,7,0.885458
-2.0,7,0.897231
7.0,7,0.908977
-22.0,7,0.920676
-20.0,7,0.933004
0.0,7,0.94574
2.0,7,0.958722
5.0,7,0.97075
-1.0,7,0.982425
0.0,7,0.994117
-1.0,7,1.005749
-12.0,7,1.017447
-16.0,7,1.029019
26.0,7,1.040617
21.0,7,1.052763
-11.0,7,1.064683
5.0,7,1.076555
23.0,7,1.088333
-21.0,7,1.099904
-1.0,7,1.111522
4.0,7,1.123167
-18.0,7,1.134716
20.0,7,1.146533
-5.0,7,1.158281
8.0,7,1.169878
9.0,7,1.181628
-20.0,7,1.193252
7.0,7,1.204894
13.0,7,1.216573
4.0,7,1.228175
24.0,7,1.239575
-17.0,7,1.251209
-16.0,7,1.262773
0.0,7,1.274533
-16.0,7,1.28623
4.0,7,1.297856
25.0,7,1.309305
4.0,7,1.32082
-2.0,7,1.332394
-16.0,7,1.343931
4.0,7,1.355584
2.0,7,1.367201
26.0,7,1.378764
21.0,7,1.39033
17.0,7,1.401982
-12.0,7,1.413594
17.0,7,1.425217
18.0,7,1.436903
1.0,7,1.450592
21.0,7,1.464432
-15.0,7,1.476454
23.0,7,1.489419
3.0,7,1.501263
0.0,7,1.512967
-5.0,7,1.524657
23.0,7,1.536339
12.0,7,1.548064
0.0,7,1.560866
1.0,7,1.572643
-6.0,7,1.584349
3.0,7,1.596038
-3.0,7,1.607523
