#{"t_start": 1764267713.6901941, "env_id": "None"}
r,l,t
35.0,7,0.009242
-7.0,7,0.021757
-1.0,7,0.035021
-25.0,7,0.049023
36.0,7,0.06095
3.0,7,0.072667
-10.0,7,0.084397
3.0,7,0.09602
5.0,7,0.107549
5.0,7,0.119164
18.0,7,0.130865
-2.0,7,0.142448
1.0,7,0.154231
-22.0,7,0.165981
4.0,7,0.177549
-19.0,7,0.189104
-1.0,7,0.200736
-19.0,7,0.2124
-1.0,7,0.224131
-6.0,7,0.235816
20.0,7,0.247397
-3.0,7,0.259137
-17.0,7,0.270894
-2.0,7,0.282743
-5.0,7,0.294379
22.0,7,0.30606
17.0,7,0.317755
6.0,7,0.329539
4.0,7,0.341009
5.0,7,0.35244
3.0,7,0.36398
-7.0,7,0.375527
1.0,7,0.387114
-10.0,7,0.398986
7.0,7,0.410699
-15.0,7,0.42242
2.0,7,0.434003
0.0,7,0.445514
40.0,7,0.457101
24.0,7,0.468524
-1.0,7,0.480299
-19.0,7,0.492897
-15.0,7,0.504497
36.0,7,0.516103
-3.0,7,0.528708
-2.0,7,0.54088
-7.0,7,0.552537
0.0,7,0.564652
-11.0,7,0.578037
32.0,7,0.590636
-2.0,7,0.603063
36.0,7,0.616509
7.0,7,0.629113
-12.0,7,0.640885
28.0,7,0.653283
-12.0,7,0.665939
42.0,7,0.677949
1.0,7,0.689688
-16.0,7,0.702373
19.0,7,0.715981
3.0,7,0.729057
-11.0,7,0.74279
23.0,7,0.756218
-3.0,7,0.768128
-2.0,7,0.78034
-3.0,7,0.792737
-6.0,7,0.804497
2.0,7,0.816035
-24.0,7,0.829298
-23.0,7,0.841421
18.0,7,0.853136
-22.0,7,0.864921
40.0,7,0.877515
18.0,7,0.88924
3.0,7,0.900887
-2.0,7,0.91348
2.0,7,0.92563
-12.0,7,0.937309
-3.0,7,0.948968
-12.0,7,0.961476
-3.0,7,0.973221
-19.0,7,0.984797
9.0,7,0.997045
1.0,7,1.009216
15.0,7,1.021009
-5.0,7,1.032663
-25.0,7,1.045234
39.0,7,1.057145
2.0,7,1.068576
0.0,7,1.08052
-3.0,7,1.092963
4.0,7,1.104754
-1.0,7,1.116583
-3.0,7,1.129287
-17.0,7,1.141546
20.0,7,1.153217
-16.0,7,1.164937
-16.0,7,1.177474
-24.0,7,1.189312
4.0,7,1.200835
21.0,7,1.21313
-2.0,7,1.225039
1.0,7,1.236572
0.0,7,1.248158
7.0,7,1.260755
0.0,7,1.272506
-16.0,7,1.284081
9.0,7,1.296237
-3.0,7,1.308224
-19.0,7,1.32
3.0,7,1.331544
-16.0,7,1.343963
-3.0,7,1.355939
-3.0,7,1.367408
27.0,7,1.379386
-15.0,7,1.391832
-18.0,7,1.404031
-22.0,7,1.416133
14.0,7,1.42937
24.0,7,1.441812
5.0,7,1.453709
-4.0,7,1.465686
5.0,7,1.478911
7.0,7,1.491449
4.0,7,1.50344
-14.0,7,1.516129
4.0,7,1.528338
-3.0,7,1.540638
14.0,7,1.552871
-3.0,7,1.565855
-9.0,7,1.579065
-22.0,7,1.591297
9.0,7,1.604368
-15.0,7,1.616748
6.0,7,1.628735
12.0,7,1.641261
-1.0,7,1.653538
-2.0,7,1.666081
22.0,7,1.678894
23.0,7,1.691928
17.0,7,1.704842
-17.0,7,1.717092
-24.0,7,1.72994
-18.0,7,1.742255
23.0,7,1.754886
17.0,7,1.767125
2.0,7,1.7798
4.0,7,1.79171
-23.0,7,1.804352
-22.0,7,1.817323
-20.0,7,1.829885
-4.0,7,1.841976
-21.0,7,1.85424
-25.0,7,1.868841
20.0,7,1.882612
-22.0,7,1.896905
-20.0,7,1.909526
2.0,7,1.921586
0.0,7,1.933295
20.0,7,1.945701
-2.0,7,1.957771
33.0,7,1.96953
21.0,7,1.981799
20.0,7,1.994498
17.0,7,2.006356
-14.0,7,2.018049
38.0,7,2.02959
18.0,7,2.041172
0.0,7,2.052584
-1.0,7,2.064134
-23.0,7,2.075908
23.0,7,2.087522
-2.0,7,2.099088
-22.0,7,2.110617
3.0,7,2.122453
10.0,7,2.134044
-13.0,7,2.145517
21.0,7,2.157126
2.0,7,2.16864
21.0,7,2.180226
26.0,7,2.19184
-4.0,7,2.203445
5.0,7,2.215056
25.0,7,2.226563
-11.0,7,2.238146
8.0,7,2.249732
-20.0,7,2.261905
-7.0,7,2.274093
-2.0,7,2.285905
1.0,7,2.297453
19.0,7,2.309076
0.0,7,2.320753
-23.0,7,2.332357
-23.0,7,2.343937
-4.0,7,2.355617
17.0,7,2.36741
-2.0,7,2.379216
-17.0,7,2.390812
-4.0,7,2.402333
-7.0,7,2.413992
5.0,7,2.425461
