#{"t_start": 1764274666.8090641, "env_id": "None"}
r,l,t
-10.0,7,0.017851
-5.0,7,0.033012
-7.0,7,0.047376
15.0,7,0.057269
7.0,7,0.071481
-25.0,7,0.085925
-3.0,7,0.095671
1.0,7,0.111832
24.0,7,0.126048
-5.0,7,0.135811
-24.0,7,0.150028
14.0,7,0.164246
16.0,7,0.178485
0.0,7,0.188247
-10.0,7,0.203128
18.0,7,0.219877
3.0,7,0.229585
-20.0,7,0.243851
10.0,7,0.258049
6.0,7,0.267766
-20.0,7,0.281973
-1.0,7,0.296098
-16.0,7,0.312309
14.0,7,0.322246
-4.0,7,0.336464
6.0,7,0.350697
18.0,7,0.360477
39.0,7,0.374691
-3.0,7,0.389713
22.0,7,0.399508
63.0,7,0.416408
24.0,7,0.430703
1.0,7,0.444952
12.0,7,0.454692
-1.0,7,0.468949
15.0,7,0.483108
27.0,7,0.492876
-3.0,7,0.507549
-3.0,7,0.524014
-7.0,7,0.533924
0.0,7,0.548252
-21.0,7,0.562595
-21.0,7,0.576938
-25.0,7,0.586836
20.0,7,0.601124
-20.0,7,0.618657
0.0,7,0.628585
-1.0,7,0.642975
15.0,7,0.657306
-5.0,7,0.667136
1.0,7,0.681518
17.0,7,0.695948
-13.0,7,0.710393
17.0,7,0.722182
-7.0,7,0.736654
25.0,7,0.750971
-1.0,7,0.760842
-17.0,7,0.775149
-21.0,7,0.789453
4.0,7,0.799331
4.0,7,0.813711
25.0,7,0.82969
5.0,7,0.843946
-2.0,7,0.85388
-6.0,7,0.868011
33.0,7,0.88224
44.0,7,0.89193
-19.0,7,0.906159
5.0,7,0.920283
18.0,7,0.931908
11.0,7,0.945971
-1.0,7,0.960085
6.0,7,0.97421
-21.0,7,0.983958
16.0,7,0.998341
-20.0,7,1.015036
18.0,7,1.028802
-2.0,7,1.043355
5.0,7,1.057756
-23.0,7,1.067603
-16.0,7,1.08196
-20.0,7,1.09625
-3.0,7,1.110774
-22.0,7,1.120507
19.0,7,1.136398
0.0,7,1.150574
-24.0,7,1.160229
-6.0,7,1.174544
10.0,7,1.188684
0.0,7,1.198429
-3.0,7,1.212797
26.0,7,1.227395
20.0,7,1.243413
-19.0,7,1.253129
-18.0,7,1.26719
-11.0,7,1.281329
-24.0,7,1.291189
10.0,7,1.305666
20.0,7,1.320021
-23.0,7,1.329848
-24.0,7,1.346162
7.0,7,1.360611
-24.0,7,1.374952
-21.0,7,1.384723
38.0,7,1.399193
0.0,7,1.413695
-16.0,7,1.423529
21.0,7,1.439709
-1.0,7,1.454237
-3.0,7,1.464026
-17.0,7,1.47832
20.0,7,1.492609
31.0,7,1.506963
5.0,7,1.516666
-10.0,7,1.530924
-11.0,7,1.547051
-17.0,7,1.556718
16.0,7,1.570947
-22.0,7,1.585162
33.0,7,1.594906
-14.0,7,1.609404
7.0,7,1.623957
7.0,7,1.640092
20.0,7,1.649882
3.0,7,1.664203
-11.0,7,1.678439
25.0,7,1.688148
-3.0,7,1.702488
-1.0,7,1.716774
0.0,7,1.726449
17.0,7,1.742727
9.0,7,1.75702
15.0,7,1.771341
-11.0,7,1.780895
-12.0,7,1.795119
6.0,7,1.809654
-4.0,7,1.819777
1.0,7,1.834117
22.0,7,1.85034
-16.0,7,1.860016
-18.0,7,1.874201
26.0,7,1.888483
-23.0,7,1.905784
-4.0,7,1.915751
-16.0,7,1.929996
4.0,7,1.94606
15.0,7,1.955845
0.0,7,1.970118
17.0,7,1.984379
1.0,7,1.994102
-16.0,7,2.008404
15.0,7,2.023245
0.0,7,2.037931
-13.0,7,2.04955
14.0,7,2.063897
-4.0,7,2.078133
0.0,7,2.087751
23.0,7,2.101949
3.0,7,2.116197
19.0,7,2.125938
-24.0,7,2.140155
22.0,7,2.156377
26.0,7,2.171878
-22.0,7,2.182946
-13.0,7,2.197587
-25.0,7,2.212828
6.0,7,2.224991
18.0,7,2.240694
-20.0,7,2.256999
25.0,7,2.266886
-23.0,7,2.281267
3.0,7,2.295492
9.0,7,2.309587
-24.0,7,2.319379
-5.0,7,2.333593
-20.0,7,2.347789
2.0,7,2.359502
-10.0,7,2.373752
36.0,7,2.388161
-18.0,7,2.397876
-7.0,7,2.41217
17.0,7,2.42751
-4.0,7,2.441803
22.0,7,2.451539
-3.0,7,2.467788
-11.0,7,2.482197
-2.0,7,2.491899
7.0,7,2.506141
-1.0,7,2.52024
-15.0,7,2.529949
-15.0,7,2.544365
20.0,7,2.560504
36.0,7,2.574585
-12.0,7,2.584265
-6.0,7,2.598356
-14.0,7,2.612648
-7.0,7,2.622405
-4.0,7,2.636606
-2.0,7,2.650712
-1.0,7,2.662368
-4.0,7,2.676527
-1.0,7,2.690554
4.0,7,2.70459
20.0,7,2.714317
-3.0,7,2.728428
26.0,7,2.742568
-4.0,7,2.752254
14.0,7,2.76836
-13.0,7,2.782372
0.0,7,2.792045
-20.0,7,2.806126
7.0,7,2.820165
-21.0,7,2.834314
6.0,7,2.843959
-11.0,7,2.858014
21.0,7,2.874054
-9.0,7,2.883729
-20.0,7,2.89783
0.0,7,2.911976
23.0,7,2.924115
-1.0,7,2.939507
-10.0,7,2.953694
17.0,7,2.969728
4.0,7,2.979452
-2.0,7,2.993521
-3.0,7,3.007512
-16.0,7,3.017149
-24.0,7,3.031212
10.0,7,3.045241
-2.0,7,3.0549
-23.0,7,3.070908
-24.0,7,3.085017
-11.0,7,3.099026
15.0,7,3.108733
0.0,7,3.122761
9.0,7,3.136874
6.0,7,3.14652
-4.0,7,3.160646
-6.0,7,3.176714
22.0,7,3.186405
-17.0,7,3.200409
-6.0,7,3.214506
11.0,7,3.228811
1.0,7,3.238506
-16.0,7,3.25265
-3.0,7,3.266747
-20.0,7,3.278372
10.0,7,3.292427
-3.0,7,3.306478
27.0,7,3.316131
-8.0,7,3.330138
-3.0,7,3.34419
-12.0,7,3.358172
-4.0,7,3.367763
-3.0,7,3.383838
0.0,7,3.398026
-1.0,7,3.40773
-15.0,7,3.421975
-1.0,7,3.436203
-24.0,7,3.445895
-21.0,7,3.459901
1.0,7,3.475699
5.0,7,3.489789
1.0,7,3.4995
-20.0,7,3.513798
15.0,7,3.528195
-19.0,7,3.537871
-16.0,7,3.552128
17.0,7,3.566339
35.0,7,3.578004
-20.0,7,3.592291
0.0,7,3.606362
-3.0,7,3.620467
-2.0,7,3.630146
20.0,7,3.644289
-22.0,7,3.658514
25.0,7,3.668158
-16.0,7,3.684318
