#{"t_start": 1764362057.0528028, "env_id": "None"}
r,l,t
3.0,7,0.019169
-21.0,7,0.028727
-24.0,7,0.038228
25.0,7,0.047686
-22.0,7,0.057186
2.0,7,0.0667
-16.0,7,0.076116
41.0,7,0.085617
24.0,7,0.095222
-17.0,7,0.104771
-3.0,7,0.117643
-15.0,7,0.129867
-1.0,7,0.141831
-3.0,7,0.153828
-20.0,7,0.165794
-15.0,7,0.177687
-7.0,7,0.189593
7.0,7,0.201483
-23.0,7,0.215723
29.0,7,0.22761
-22.0,7,0.23941
-22.0,7,0.251147
-5.0,7,0.262802
-10.0,7,0.272451
1.0,7,0.282036
1.0,7,0.291664
-7.0,7,0.301324
2.0,7,0.310903
25.0,7,0.322643
37.0,7,0.332237
2.0,7,0.341881
-16.0,7,0.351478
-3.0,7,0.361056
-22.0,7,0.370689
-9.0,7,0.380304
2.0,7,0.389907
-3.0,7,0.399495
-3.0,7,0.408987
-12.0,7,0.420722
-3.0,7,0.430203
8.0,7,0.439885
22.0,7,0.449507
16.0,7,0.45909
-23.0,7,0.468698
0.0,7,0.478281
24.0,7,0.487857
-5.0,7,0.497438
26.0,7,0.507039
1.0,7,0.519693
1.0,7,0.530504
18.0,7,0.540973
-4.0,7,0.550672
26.0,7,0.56028
-3.0,7,0.569876
-3.0,7,0.579505
-15.0,7,0.58908
-3.0,7,0.598713
-12.0,7,0.608311
6.0,7,0.617915
38.0,7,0.629648
14.0,7,0.639304
14.0,7,0.648908
-20.0,7,0.65851
24.0,7,0.668083
3.0,7,0.677699
-1.0,7,0.687277
-6.0,7,0.696899
19.0,7,0.706421
-15.0,7,0.715995
1.0,7,0.727718
21.0,7,0.737437
-17.0,7,0.746934
19.0,7,0.756575
27.0,7,0.766087
-25.0,7,0.775705
-2.0,7,0.785283
0.0,7,0.794792
3.0,7,0.804387
-21.0,7,0.813938
22.0,7,0.825824
26.0,7,0.835317
0.0,7,0.84492
-16.0,7,0.854547
-17.0,7,0.864104
4.0,7,0.873693
4.0,7,0.883282
-3.0,7,0.89283
4.0,7,0.902431
6.0,7,0.911998
53.0,7,0.922195
-4.0,7,0.934151
-23.0,7,0.943811
-4.0,7,0.9534
-23.0,7,0.96301
-6.0,7,0.972544
-16.0,7,0.982091
5.0,7,0.991606
20.0,7,1.001112
-2.0,7,1.010757
-22.0,7,1.020293
3.0,7,1.031946
4.0,7,1.041596
-3.0,7,1.051178
-4.0,7,1.060824
38.0,7,1.070428
4.0,7,1.080022
2.0,7,1.089614
-1.0,7,1.099273
-2.0,7,1.109189
-21.0,7,1.119684
8.0,7,1.129268
-24.0,7,1.141121
-12.0,7,1.15076
23.0,7,1.160333
-1.0,7,1.16991
5.0,7,1.179518
2.0,7,1.189076
-25.0,7,1.19869
0.0,7,1.20822
21.0,7,1.217856
-3.0,7,1.228654
-21.0,7,1.241683
9.0,7,1.251318
18.0,7,1.260949
18.0,7,1.270525
-16.0,7,1.280084
1.0,7,1.289611
-11.0,7,1.299193
-11.0,7,1.308807
-22.0,7,1.318542
5.0,7,1.328114
34.0,7,1.33989
-11.0,7,1.349514
-11.0,7,1.359092
-19.0,7,1.368711
-5.0,7,1.378341
-23.0,7,1.38791
-15.0,7,1.397525
3.0,7,1.407049
-2.0,7,1.416598
-6.0,7,1.426228
-2.0,7,1.435853
-19.0,7,1.447587
-25.0,7,1.457189
-21.0,7,1.466759
-19.0,7,1.476694
-17.0,7,1.486236
-11.0,7,1.495816
18.0,7,1.505398
-15.0,7,1.515566
34.0,7,1.52553
2.0,7,1.535087
-18.0,7,1.546934
17.0,7,1.556533
1.0,7,1.566162
10.0,7,1.575719
