#{"t_start": 1764361917.6290333, "env_id": "None"}
r,l,t
17.0,7,0.018682
17.0,7,0.028492
-3.0,7,0.038062
5.0,7,0.047624
-24.0,7,0.057241
2.0,7,0.066818
2.0,7,0.076428
7.0,7,0.085963
34.0,7,0.09555
-2.0,7,0.105106
3.0,7,0.117051
1.0,7,0.126643
19.0,7,0.136208
-3.0,7,0.145776
41.0,7,0.155337
23.0,7,0.164876
-2.0,7,0.174443
-1.0,7,0.18395
21.0,7,0.193486
17.0,7,0.203055
-4.0,7,0.21492
19.0,7,0.224504
-16.0,7,0.233999
-23.0,7,0.243563
-16.0,7,0.253093
-3.0,7,0.262619
-13.0,7,0.272182
15.0,7,0.28192
-18.0,7,0.291514
44.0,7,0.301061
3.0,7,0.310555
-17.0,7,0.322503
-4.0,7,0.332205
-22.0,7,0.341763
3.0,7,0.351244
2.0,7,0.360809
-7.0,7,0.370384
7.0,7,0.379827
-2.0,7,0.389416
-4.0,7,0.398958
23.0,7,0.4085
-6.0,7,0.420357
5.0,7,0.429935
28.0,7,0.439534
-14.0,7,0.449106
-24.0,7,0.458656
23.0,7,0.468209
-2.0,7,0.477877
-21.0,7,0.487414
-3.0,7,0.496939
-1.0,7,0.506495
21.0,7,0.518302
3.0,7,0.528601
1.0,7,0.540525
-1.0,7,0.550937
-2.0,7,0.560472
16.0,7,0.570035
-3.0,7,0.579615
5.0,7,0.589157
5.0,7,0.598628
-7.0,7,0.608006
-16.0,7,0.617529
7.0,7,0.629363
0.0,7,0.638943
-24.0,7,0.648485
17.0,7,0.659046
6.0,7,0.670929
19.0,7,0.682191
39.0,7,0.694867
-20.0,7,0.707818
0.0,7,0.719907
28.0,7,0.73404
-2.0,7,0.745977
4.0,7,0.757782
-5.0,7,0.769518
5.0,7,0.781454
6.0,7,0.79322
-6.0,7,0.804978
14.0,7,0.816715
9.0,7,0.830816
2.0,7,0.842477
-18.0,7,0.85365
0.0,7,0.863304
37.0,7,0.873214
-15.0,7,0.88274
31.0,7,0.892303
0.0,7,0.901791
16.0,7,0.91136
38.0,7,0.920948
