#{"t_start": 1764199631.7294905, "env_id": "None"}
r,l,t
22.0,7,5.643541
0.0,7,5.644519
-3.0,7,5.645466
18.0,7,5.646344
4.0,7,5.65012
2.0,7,5.651031
5.0,7,5.651913
-5.0,7,5.652794
59.0,7,5.656337
0.0,7,5.657266
5.0,7,5.658163
15.0,7,5.65896
21.0,7,5.662341
-10.0,7,5.663236
2.0,7,5.664124
-14.0,7,5.664954
-3.0,7,5.668335
-4.0,7,5.669246
13.0,7,5.670136
-17.0,7,5.670915
42.0,7,5.67427
-4.0,7,5.675197
5.0,7,5.676083
-16.0,7,5.676924
18.0,7,5.680271
15.0,7,5.681212
29.0,7,5.682035
7.0,7,5.682891
3.0,7,5.686259
2.0,7,5.687189
15.0,7,5.688133
-14.0,7,5.689
47.0,7,5.69243
19.0,7,5.693338
-6.0,7,5.694236
-4.0,7,5.695135
-21.0,7,5.698489
-20.0,7,5.699393
4.0,7,5.700264
0.0,7,5.701115
-2.0,7,5.705637
2.0,7,5.70658
18.0,7,5.707511
-16.0,7,5.708344
-6.0,7,5.711771
35.0,7,5.712741
23.0,7,5.713627
-3.0,7,5.714472
15.0,7,5.717936
-1.0,7,5.718869
-5.0,7,5.719795
-18.0,7,5.720654
-15.0,7,5.724029
7.0,7,5.72498
-17.0,7,5.725915
31.0,7,5.72676
0.0,7,5.730253
-4.0,7,5.731198
-25.0,7,5.732111
19.0,7,5.733006
-2.0,7,5.73647
-23.0,7,5.737397
9.0,7,5.738262
18.0,7,5.73917
-16.0,7,5.744643
14.0,7,5.745561
22.0,7,5.74648
38.0,7,5.747331
-4.0,7,5.750795
3.0,7,5.751724
21.0,7,5.752617
-3.0,7,5.753445
-25.0,7,5.75691
19.0,7,5.757819
4.0,7,5.758768
-20.0,7,5.759624
-1.0,7,5.763021
3.0,7,5.763942
-2.0,7,5.764829
21.0,7,5.765661
-5.0,7,5.769101
5.0,7,5.77004
-14.0,7,5.770936
-18.0,7,5.771798
14.0,7,5.775206
-7.0,7,5.776154
0.0,7,5.77697
-1.0,7,5.777823
15.0,7,5.781182
19.0,7,5.782106
-3.0,7,5.782973
-18.0,7,5.783814
-23.0,7,5.787206
-11.0,7,5.788114
14.0,7,5.789013
21.0,7,5.789823
17.0,7,5.793247
16.0,7,5.794147
25.0,7,5.795036
56.0,7,5.795904
21.0,7,5.799209
-4.0,7,5.800145
-2.0,7,5.801046
48.0,7,5.801894
-16.0,7,5.805208
3.0,7,5.806167
-21.0,7,5.807043
35.0,7,5.807896
7.0,7,5.811244
5.0,7,5.812118
17.0,7,5.813026
-16.0,7,5.81376
-11.0,7,5.817122
-10.0,7,5.818003
0.0,7,5.818926
-17.0,7,5.819767
18.0,7,5.82313
-4.0,7,5.82407
41.0,7,5.824957
19.0,7,5.825831
20.0,7,5.829243
5.0,7,5.830165
-11.0,7,5.83106
1.0,7,5.831903
-1.0,7,5.835338
0.0,7,5.836243
0.0,7,5.8371
-21.0,7,5.837942
19.0,7,5.841395
-4.0,7,5.842315
-4.0,7,5.843182
-3.0,7,5.844034
4.0,7,5.849443
-2.0,7,5.850353
10.0,7,5.851201
5.0,7,5.852035
15.0,7,5.855494
2.0,7,5.856405
3.0,7,5.857258
2.0,7,5.858116
-3.0,7,5.861522
-12.0,7,5.862452
-22.0,7,5.974148
-3.0,7,6.986918
-3.0,7,6.997519
-19.0,7,7.003598
-4.0,7,7.010052
24.0,7,7.015037
16.0,7,7.025061
18.0,7,7.03205
-18.0,7,7.039545
-3.0,7,7.044076
-19.0,7,7.053419
-2.0,7,7.059964
35.0,7,7.066982
14.0,7,7.071481
-18.0,7,7.083725
37.0,7,7.091036
-2.0,7,7.098078
18.0,7,7.102559
-23.0,7,7.112661
45.0,7,7.12009
-6.0,7,7.127074
-23.0,7,7.131069
3.0,7,7.140698
2.0,7,7.14817
-21.0,7,7.154219
19.0,7,7.158761
-3.0,7,7.168023
35.0,7,7.175038
-3.0,7,7.1845
-25.0,7,7.188993
-20.0,7,7.198199
-2.0,7,7.205634
-7.0,7,7.212028
21.0,7,7.216001
4.0,7,7.226022
0.0,7,7.23306
15.0,7,7.239868
15.0,7,7.243591
2.0,7,7.252823
-16.0,7,7.259773
-12.0,7,7.266014
16.0,7,7.270505
33.0,7,7.281608
-17.0,7,7.288102
4.0,7,7.294477
14.0,7,7.298974
4.0,7,7.308646
-13.0,7,7.315586
25.0,7,7.322931
-2.0,7,7.326988
-4.0,7,7.335766
-2.0,7,7.342463
-7.0,7,7.349579
13.0,7,7.354223
-25.0,7,7.364801
5.0,7,7.372243
-25.0,7,7.379741
-6.0,7,7.385238
16.0,7,7.39495
-16.0,7,7.402204
4.0,7,7.411335
15.0,7,7.415661
19.0,7,7.427934
-7.0,7,7.436777
-4.0,7,7.444493
-25.0,7,7.45059
18.0,7,7.459999
-16.0,7,7.467525
25.0,7,7.474028
5.0,7,7.47804
16.0,7,7.489711
-2.0,7,7.496238
-15.0,7,7.502614
29.0,7,7.507043
-7.0,7,7.515775
-18.0,7,7.523207
-25.0,7,7.531182
23.0,7,7.535208
-25.0,7,7.544835
25.0,7,7.551297
1.0,7,7.558213
7.0,7,7.563511
41.0,7,7.574825
18.0,7,7.582202
-3.0,7,7.59148
17.0,7,7.597255
-25.0,7,7.608106
2.0,7,7.616
11.0,7,7.623266
14.0,7,7.628001
-3.0,7,7.638142
18.0,7,7.644104
-11.0,7,7.651434
-23.0,7,7.655891
-2.0,7,7.665602
-4.0,7,7.67195
9.0,7,7.67835
1.0,7,7.683301
5.0,7,7.694423
-3.0,7,7.701236
2.0,7,7.708561
19.0,7,7.713495
0.0,7,7.723922
-10.0,7,7.730955
-17.0,7,7.738346
4.0,7,7.742792
18.0,7,7.751877
3.0,7,7.758293
17.0,7,7.765179
19.0,7,7.769176
27.0,7,7.779703
-2.0,7,7.786715
4.0,7,7.795992
-16.0,7,7.80001
2.0,7,7.809988
9.0,7,7.818222
0.0,7,7.825009
22.0,7,7.829974
-3.0,7,7.839962
-16.0,7,7.847165
-13.0,7,7.853576
-4.0,7,7.858496
24.0,7,7.869001
-3.0,7,7.877263
1.0,7,7.884556
17.0,7,7.889026
0.0,7,7.901066
3.0,7,7.908748
3.0,7,7.916569
-15.0,7,7.921414
-23.0,7,7.931092
5.0,7,7.937
5.0,7,7.944619
39.0,7,7.949089
21.0,7,7.958694
39.0,7,7.965536
-16.0,7,7.974131
-21.0,7,7.97853
6.0,7,7.988923
-11.0,7,7.999482
-11.0,7,8.006217
-16.0,7,8.011525
-16.0,7,8.021094
41.0,7,8.028171
0.0,7,8.034566
-12.0,7,8.037995
-10.0,7,8.048399
-11.0,7,8.05598
-3.0,7,8.063667
18.0,7,8.067523
-7.0,7,8.07726
7.0,7,8.083652
3.0,7,8.090417
-3.0,7,8.095308
1.0,7,8.107526
18.0,7,8.114859
