#{"t_start": 1764361809.2941, "env_id": "None"}
r,l,t
3.0,7,0.018512
2.0,7,0.028469
18.0,7,0.038123
17.0,7,0.047786
1.0,7,0.057484
0.0,7,0.067155
-21.0,7,0.07673
-17.0,7,0.086334
17.0,7,0.095917
17.0,7,0.105502
-17.0,7,0.117409
5.0,7,0.126976
30.0,7,0.136588
-4.0,7,0.146114
51.0,7,0.15568
-3.0,7,0.165306
10.0,7,0.174831
-2.0,7,0.184374
0.0,7,0.193898
-11.0,7,0.203428
-3.0,7,0.215294
-1.0,7,0.22484
23.0,7,0.23446
-3.0,7,0.244042
-4.0,7,0.253762
18.0,7,0.263381
-16.0,7,0.273024
7.0,7,0.282937
-7.0,7,0.292603
20.0,7,0.302175
9.0,7,0.313994
-16.0,7,0.323615
18.0,7,0.333199
-17.0,7,0.342716
12.0,7,0.352336
2.0,7,0.361928
-17.0,7,0.371492
21.0,7,0.381092
2.0,7,0.390613
12.0,7,0.400262
-6.0,7,0.409851
-2.0,7,0.421825
3.0,7,0.43142
20.0,7,0.441034
-11.0,7,0.450589
-2.0,7,0.460113
20.0,7,0.46965
-21.0,7,0.479336
19.0,7,0.489456
0.0,7,0.499015
-11.0,7,0.508586
-24.0,7,0.520452
3.0,7,0.530059
7.0,7,0.539612
-24.0,7,0.549194
3.0,7,0.558734
-7.0,7,0.568359
-22.0,7,0.577897
-6.0,7,0.587506
-3.0,7,0.597074
6.0,7,0.60663
23.0,7,0.616221
4.0,7,0.628129
-6.0,7,0.637722
-16.0,7,0.647245
0.0,7,0.656864
36.0,7,0.666428
-16.0,7,0.675864
-3.0,7,0.685414
-3.0,7,0.695055
0.0,7,0.704587
-4.0,7,0.714077
-18.0,7,0.725949
43.0,7,0.735562
35.0,7,0.745147
-17.0,7,0.754711
1.0,7,0.764251
22.0,7,0.774045
15.0,7,0.7844
18.0,7,0.794353
-21.0,7,0.804906
-17.0,7,0.814822
39.0,7,0.82738
0.0,7,0.840153
-13.0,7,0.85027
-15.0,7,0.860025
19.0,7,0.869734
-20.0,7,0.879276
2.0,7,0.888768
25.0,7,0.898351
5.0,7,0.907811
-6.0,7,0.917409
-24.0,7,0.929275
0.0,7,0.9389
-22.0,7,0.948414
-12.0,7,0.958065
-21.0,7,0.967557
-6.0,7,0.977087
6.0,7,0.987066
12.0,7,0.99666
0.0,7,1.006212
-12.0,7,1.015717
15.0,7,1.026082
-5.0,7,1.037979
0.0,7,1.047494
-3.0,7,1.056992
-20.0,7,1.066537
-9.0,7,1.076105
14.0,7,1.085661
5.0,7,1.095261
3.0,7,1.104748
36.0,7,1.11435
26.0,7,1.123914
-10.0,7,1.135799
26.0,7,1.145371
1.0,7,1.154873
19.0,7,1.164434
17.0,7,1.173941
-1.0,7,1.183812
19.0,7,1.193419
0.0,7,1.202978
5.0,7,1.212542
-11.0,7,1.222037
-15.0,7,1.231521
5.0,7,1.243434
-2.0,7,1.253076
-21.0,7,1.262567
29.0,7,1.272094
2.0,7,1.281631
37.0,7,1.291389
-17.0,7,1.301282
-2.0,7,1.311079
21.0,7,1.320608
-1.0,7,1.330165
-3.0,7,1.342099
67.0,7,1.351646
-2.0,7,1.361123
-15.0,7,1.37061
-3.0,7,1.380113
-21.0,7,1.389561
1.0,7,1.39902
16.0,7,1.408554
16.0,7,1.418057
19.0,7,1.427581
8.0,7,1.439296
-22.0,7,1.449215
3.0,7,1.458619
38.0,7,1.468089
-15.0,7,1.477494
-1.0,7,1.488041
-3.0,7,1.497565
18.0,7,1.507085
6.0,7,1.516592
-20.0,7,1.526107
-22.0,7,1.535553
-1.0,7,1.547465
-12.0,7,1.556985
36.0,7,1.566439
9.0,7,1.575943
17.0,7,1.58542
9.0,7,1.594914
-17.0,7,1.604401
2.0,7,1.613875
26.0,7,1.623347
0.0,7,1.632806
-25.0,7,1.644566
40.0,7,1.65421
-3.0,7,1.663675
0.0,7,1.673064
-20.0,7,1.682579
28.0,7,1.692055
-1.0,7,1.701574
11.0,7,1.711104
-3.0,7,1.720813
17.0,7,1.730365
39.0,7,1.73999
18.0,7,1.752035
-1.0,7,1.761682
0.0,7,1.771221
26.0,7,1.780909
-20.0,7,1.79078
4.0,7,1.800404
-24.0,7,1.809974
4.0,7,1.819508
-2.0,7,1.829007
18.0,7,1.838558
1.0,7,1.850414
2.0,7,1.859905
9.0,7,1.86942
2.0,7,1.878927
6.0,7,1.888418
15.0,7,1.897931
17.0,7,1.907445
0.0,7,1.916888
2.0,7,1.926415
1.0,7,1.935919
7.0,7,1.945421
14.0,7,1.957383
-21.0,7,1.966918
44.0,7,1.976586
-3.0,7,1.986237
32.0,7,1.996392
-12.0,7,2.006211
-2.0,7,2.015881
-7.0,7,2.025671
7.0,7,2.035351
20.0,7,2.044765
1.0,7,2.056648
5.0,7,2.066107
-5.0,7,2.075621
2.0,7,2.085152
-2.0,7,2.09477
15.0,7,2.104476
4.0,7,2.11425
2.0,7,2.123888
0.0,7,2.133484
-21.0,7,2.143206
18.0,7,2.152819
-3.0,7,2.164735
-2.0,7,2.174373
-7.0,7,2.184106
-1.0,7,2.193971
-16.0,7,2.203508
-19.0,7,2.214594
5.0,7,2.224295
-13.0,7,2.233832
4.0,7,2.243419
-16.0,7,2.252805
-16.0,7,2.264683
-3.0,7,2.274224
25.0,7,2.28368
-16.0,7,2.293087
0.0,7,2.302772
17.0,7,2.312843
22.0,7,2.322519
39.0,7,2.332095
15.0,7,2.34165
29.0,7,2.351218
-5.0,7,2.363074
3.0,7,2.372607
-13.0,7,2.382106
36.0,7,2.391986
0.0,7,2.401548
-25.0,7,2.411083
9.0,7,2.420588
36.0,7,2.430084
-4.0,7,2.439573
-2.0,7,2.449048
19.0,7,2.458576
-3.0,7,2.470466
15.0,7,2.479991
1.0,7,2.489521
-11.0,7,2.499002
-6.0,7,2.508542
-3.0,7,2.517931
20.0,7,2.527421
-2.0,7,2.536917
18.0,7,2.54646
-4.0,7,2.556022
28.0,7,2.567775
25.0,7,2.577378
3.0,7,2.586894
11.0,7,2.596568
