#{"t_start": 1764267294.0752437, "env_id": "None"}
r,l,t
-7.0,7,0.009448
-1.0,7,0.022154
2.0,7,0.034889
3.0,7,0.047296
16.0,7,0.059043
20.0,7,0.071349
-16.0,7,0.08325
21.0,7,0.09513
14.0,7,0.108058
1.0,7,0.120325
5.0,7,0.132183
23.0,7,0.144666
3.0,7,0.15724
22.0,7,0.169399
2.0,7,0.18169
-21.0,7,0.195062
2.0,7,0.207185
-4.0,7,0.219024
-10.0,7,0.231654
8.0,7,0.243798
22.0,7,0.255598
15.0,7,0.267505
-18.0,7,0.28046
32.0,7,0.292429
0.0,7,0.304103
-6.0,7,0.316953
26.0,7,0.329226
-2.0,7,0.341038
-21.0,7,0.352777
3.0,7,0.365731
-20.0,7,0.378154
-21.0,7,0.392849
-3.0,7,0.406652
-7.0,7,0.418904
4.0,7,0.430732
-3.0,7,0.443128
27.0,7,0.457743
1.0,7,0.47181
42.0,7,0.486248
17.0,7,0.499984
-1.0,7,0.51325
0.0,7,0.527309
-21.0,7,0.539973
0.0,7,0.551937
21.0,7,0.563666
10.0,7,0.576467
2.0,7,0.588659
16.0,7,0.600464
22.0,7,0.612715
0.0,7,0.625024
23.0,7,0.636994
20.0,7,0.648816
16.0,7,0.661434
-5.0,7,0.673646
-1.0,7,0.685335
-11.0,7,0.697391
-21.0,7,0.70984
-23.0,7,0.721722
18.0,7,0.733524
-23.0,7,0.746238
-17.0,7,0.758379
-6.0,7,0.770282
21.0,7,0.78233
23.0,7,0.795005
5.0,7,0.806864
-22.0,7,0.818694
-15.0,7,0.831211
-3.0,7,0.843282
-15.0,7,0.855272
-7.0,7,0.867182
-15.0,7,0.879775
10.0,7,0.891768
41.0,7,0.903535
6.0,7,0.916179
-20.0,7,0.928471
10.0,7,0.940359
21.0,7,0.952354
-2.0,7,0.965068
7.0,7,0.97706
21.0,7,0.988818
0.0,7,1.001045
1.0,7,1.013329
0.0,7,1.02524
-17.0,7,1.037058
1.0,7,1.049806
0.0,7,1.061831
10.0,7,1.07342
-21.0,7,1.085581
-4.0,7,1.0981
2.0,7,1.110111
0.0,7,1.121916
-21.0,7,1.134682
17.0,7,1.146988
26.0,7,1.158792
7.0,7,1.17099
36.0,7,1.183732
13.0,7,1.19572
-2.0,7,1.207589
16.0,7,1.220063
-25.0,7,1.23225
5.0,7,1.244103
8.0,7,1.256279
-23.0,7,1.26872
23.0,7,1.280609
-7.0,7,1.292475
21.0,7,1.305344
-3.0,7,1.317505
19.0,7,1.329338
3.0,7,1.341274
-24.0,7,1.354005
0.0,7,1.365955
35.0,7,1.377772
-22.0,7,1.390432
-3.0,7,1.402899
0.0,7,1.415185
2.0,7,1.427605
17.0,7,1.440355
5.0,7,1.452293
12.0,7,1.464091
-3.0,7,1.476813
-3.0,7,1.488994
-24.0,7,1.50083
1.0,7,1.512924
2.0,7,1.525661
18.0,7,1.537576
0.0,7,1.549428
-15.0,7,1.561931
-1.0,7,1.574122
-5.0,7,1.585965
7.0,7,1.597692
19.0,7,1.609363
2.0,7,1.621216
-25.0,7,1.633045
22.0,7,1.644871
-11.0,7,1.6566
1.0,7,1.668295
-2.0,7,1.680081
37.0,7,1.691818
15.0,7,1.703482
-22.0,7,1.71546
-6.0,7,1.727189
-15.0,7,1.738978
-1.0,7,1.750674
-16.0,7,1.762371
6.0,7,1.773935
2.0,7,1.785661
-21.0,7,1.797363
-1.0,7,1.809093
-20.0,7,1.820884
-7.0,7,1.83267
-19.0,7,1.844367
40.0,7,1.856206
-1.0,7,1.868753
2.0,7,1.881314
4.0,7,1.893146
25.0,7,1.904897
2.0,7,1.916592
11.0,7,1.928347
16.0,7,1.94015
2.0,7,1.952074
-1.0,7,1.963906
-2.0,7,1.97562
4.0,7,1.98739
-3.0,7,1.999145
13.0,7,2.010859
12.0,7,2.022502
0.0,7,2.034218
18.0,7,2.045996
4.0,7,2.05772
28.0,7,2.069465
22.0,7,2.081293
-10.0,7,2.093095
-4.0,7,2.104748
-1.0,7,2.116506
1.0,7,2.128265
6.0,7,2.140044
18.0,7,2.151897
-15.0,7,2.163479
0.0,7,2.175288
-3.0,7,2.187163
-2.0,7,2.19897
28.0,7,2.210639
1.0,7,2.222385
-2.0,7,2.234166
19.0,7,2.245939
5.0,7,2.25766
0.0,7,2.269313
-6.0,7,2.281121
0.0,7,2.29509
-2.0,7,2.307048
-3.0,7,2.318788
-17.0,7,2.330823
-4.0,7,2.343187
5.0,7,2.355261
-3.0,7,2.369635
0.0,7,2.382325
-23.0,7,2.394422
-1.0,7,2.406302
-4.0,7,2.418129
-12.0,7,2.430265
60.0,7,2.442483
-23.0,7,2.454841
18.0,7,2.466959
10.0,7,2.47865
-3.0,7,2.490546
-16.0,7,2.502262
9.0,7,2.514034
-2.0,7,2.525738
21.0,7,2.537576
-25.0,7,2.549465
-12.0,7,2.561312
23.0,7,2.57308
-6.0,7,2.58506
22.0,7,2.596859
-2.0,7,2.608672
31.0,7,2.620418
-23.0,7,2.632222
1.0,7,2.644045
26.0,7,2.655856
-7.0,7,2.667708
-20.0,7,2.679614
-16.0,7,2.691458
-21.0,7,2.703219
-16.0,7,2.714945
5.0,7,2.728009
27.0,7,2.740314
17.0,7,2.75253
5.0,7,2.76453
3.0,7,2.776377
0.0,7,2.788226
-13.0,7,2.799998
39.0,7,2.811888
-19.0,7,2.823773
38.0,7,2.83567
-3.0,7,2.847423
18.0,7,2.85935
-3.0,7,2.871222
-7.0,7,2.883027
8.0,7,2.894833
20.0,7,2.906624
19.0,7,2.918427
-17.0,7,2.930317
-2.0,7,2.942228
-15.0,7,2.95407
38.0,7,2.965836
-18.0,7,2.977644
-24.0,7,2.989429
-14.0,7,3.001105
-16.0,7,3.012862
1.0,7,3.024636
1.0,7,3.036637
-19.0,7,3.0486
-17.0,7,3.060499
-18.0,7,3.072301
2.0,7,3.084083
-1.0,7,3.09586
11.0,7,3.107679
-4.0,7,3.11945
14.0,7,3.131343
-20.0,7,3.143153
3.0,7,3.154912
-1.0,7,3.166651
-3.0,7,3.178475
-4.0,7,3.190642
-12.0,7,3.204609
-2.0,7,3.218563
20.0,7,3.232464
-3.0,7,3.244331
-22.0,7,3.256146
-5.0,7,3.26857
18.0,7,3.281588
13.0,7,3.294699
-18.0,7,3.307814
4.0,7,3.320797
7.0,7,3.332692
26.0,7,3.34453
-1.0,7,3.356385
-5.0,7,3.369122
0.0,7,3.38114
-4.0,7,3.393415
0.0,7,3.405438
-19.0,7,3.417276
-14.0,7,3.429051
-18.0,7,3.440844
-11.0,7,3.453102
-7.0,7,3.46549
-2.0,7,3.477832
0.0,7,3.489814
-17.0,7,3.501565
21.0,7,3.513456
-15.0,7,3.525482
1.0,7,3.537283
23.0,7,3.549058
-2.0,7,3.560821
-1.0,7,3.572609
-1.0,7,3.584442
-19.0,7,3.596262
19.0,7,3.608083
11.0,7,3.619828
-5.0,7,3.631653
22.0,7,3.643437
-2.0,7,3.655217
-21.0,7,3.666898
-23.0,7,3.6786
15.0,7,3.690445
7.0,7,3.702174
5.0,7,3.713939
19.0,7,3.725639
20.0,7,3.737545
-21.0,7,3.74932
-21.0,7,3.760963
-4.0,7,3.772648
-21.0,7,3.78423
23.0,7,3.795977
20.0,7,3.807793
-21.0,7,3.81957
2.0,7,3.831373
-5.0,7,3.843105
-18.0,7,3.854862
-3.0,7,3.866676
-21.0,7,3.878398
15.0,7,3.890133
-22.0,7,3.901834
14.0,7,3.913665
22.0,7,3.925447
2.0,7,3.937251
-4.0,7,3.949087
3.0,7,3.96074
-4.0,7,3.972486
3.0,7,3.984235
