#{"t_start": 1764274310.9315722, "env_id": "None"}
r,l,t
-18.0,7,0.023283
85.0,7,0.037272
-25.0,7,0.055537
-7.0,7,0.069525
-4.0,7,0.08364
18.0,7,0.10243
-21.0,7,0.118494
-7.0,7,0.136693
29.0,7,0.150639
1.0,7,0.164494
1.0,7,0.182686
-16.0,7,0.196542
-3.0,7,0.216599
9.0,7,0.230507
-17.0,7,0.244406
5.0,7,0.263221
-2.0,7,0.27719
4.0,7,0.295827
-19.0,7,0.309737
18.0,7,0.325545
-3.0,7,0.343629
1.0,7,0.357572
13.0,7,0.375764
-13.0,7,0.389739
7.0,7,0.403669
-23.0,7,0.423884
15.0,7,0.4378
-3.0,7,0.456
-24.0,7,0.469867
2.0,7,0.483672
-6.0,7,0.501843
17.0,7,0.517642
14.0,7,0.535936
-16.0,7,0.549812
1.0,7,0.56369
23.0,7,0.581832
35.0,7,0.596971
18.0,7,0.615339
-3.0,7,0.63124
-4.0,7,0.645156
-20.0,7,0.663654
17.0,7,0.677906
-2.0,7,0.696332
-16.0,7,0.710301
-22.0,7,0.726121
1.0,7,0.74445
-5.0,7,0.758397
-21.0,7,0.776614
-18.0,7,0.790533
0.0,7,0.804408
42.0,7,0.824491
0.0,7,0.838527
-17.0,7,0.856924
6.0,7,0.870835
15.0,7,0.884769
18.0,7,0.903623
-1.0,7,0.917557
-4.0,7,0.937856
-4.0,7,0.951887
-6.0,7,0.965743
-4.0,7,0.983958
-2.0,7,0.997889
-3.0,7,1.016176
-20.0,7,1.03207
4.0,7,1.045969
-24.0,7,1.064287
-3.0,7,1.078201
4.0,7,1.096915
-19.0,7,1.110917
43.0,7,1.124782
-4.0,7,1.145025
20.0,7,1.161936
-20.0,7,1.18029
-2.0,7,1.19431
-2.0,7,1.208181
-24.0,7,1.226953
1.0,7,1.243158
18.0,7,1.262407
6.0,7,1.276848
2.0,7,1.291164
-17.0,7,1.309769
-7.0,7,1.323981
-7.0,7,1.344451
9.0,7,1.358571
23.0,7,1.372823
5.0,7,1.392813
22.0,7,1.407556
5.0,7,1.426034
-9.0,7,1.442078
11.0,7,1.456364
15.0,7,1.474957
-20.0,7,1.489119
-24.0,7,1.507663
11.0,7,1.521988
-12.0,7,1.538204
-20.0,7,1.557212
4.0,7,1.571578
-9.0,7,1.590485
1.0,7,1.605276
25.0,7,1.619531
-4.0,7,1.640154
12.0,7,1.654466
21.0,7,1.673135
19.0,7,1.687452
-6.0,7,1.702003
21.0,7,1.72083
23.0,7,1.735141
0.0,7,1.755935
-9.0,7,1.770476
10.0,7,1.784794
4.0,7,1.805773
3.0,7,1.820174
20.0,7,1.838974
3.0,7,1.85529
23.0,7,1.869595
15.0,7,1.888468
1.0,7,1.902818
3.0,7,1.921783
-2.0,7,1.936054
-3.0,7,1.95218
25.0,7,1.97071
16.0,7,1.984829
14.0,7,2.003292
-22.0,7,2.017495
-23.0,7,2.031687
-12.0,7,2.052005
-25.0,7,2.066193
22.0,7,2.084606
-17.0,7,2.099804
5.0,7,2.114238
22.0,7,2.133201
-13.0,7,2.149275
-5.0,7,2.167794
2.0,7,2.181933
-12.0,7,2.195997
-25.0,7,2.214485
-7.0,7,2.228619
0.0,7,2.246915
-19.0,7,2.263526
4.0,7,2.27775
4.0,7,2.297088
1.0,7,2.311327
-5.0,7,2.332937
-23.0,7,2.347019
2.0,7,2.36306
24.0,7,2.381878
3.0,7,2.396232
-2.0,7,2.414918
3.0,7,2.429201
-3.0,7,2.443318
16.0,7,2.463679
43.0,7,2.477829
-4.0,7,2.496206
22.0,7,2.510392
-5.0,7,2.524523
-4.0,7,2.543021
-3.0,7,2.558943
-1.0,7,2.577275
0.0,7,2.591417
37.0,7,2.605597
-10.0,7,2.624044
-3.0,7,2.638155
18.0,7,2.656471
-1.0,7,2.672507
41.0,7,2.686609
25.0,7,2.705
-6.0,7,2.719087
-15.0,7,2.737557
-18.0,7,2.751654
-24.0,7,2.767617
-25.0,7,2.78616
24.0,7,2.800272
5.0,7,2.818479
2.0,7,2.832642
14.0,7,2.846752
-6.0,7,2.866982
-2.0,7,2.881783
13.0,7,2.902459
7.0,7,2.916842
-3.0,7,2.93117
-24.0,7,2.949962
27.0,7,2.966061
-16.0,7,2.984478
15.0,7,2.998635
-6.0,7,3.012764
18.0,7,3.031399
-20.0,7,3.045551
-15.0,7,3.064062
16.0,7,3.080163
-23.0,7,3.094279
-1.0,7,3.112707
24.0,7,3.126877
-2.0,7,3.14532
15.0,7,3.159496
-2.0,7,3.175565
-17.0,7,3.194165
2.0,7,3.208497
14.0,7,3.227044
58.0,7,3.241216
7.0,7,3.25552
0.0,7,3.276181
4.0,7,3.290445
20.0,7,3.309332
3.0,7,3.323549
5.0,7,3.337836
-15.0,7,3.356457
-25.0,7,3.370776
-4.0,7,3.391398
21.0,7,3.405761
19.0,7,3.420062
21.0,7,3.438826
-1.0,7,3.453097
-17.0,7,3.47156
5.0,7,3.487553
7.0,7,3.505979
14.0,7,3.52444
20.0,7,3.538514
5.0,7,3.556898
-3.0,7,3.57103
0.0,7,3.587031
-23.0,7,3.605518
-7.0,7,3.619672
3.0,7,3.638044
-2.0,7,3.652081
19.0,7,3.666234
0.0,7,3.686629
-25.0,7,3.700728
9.0,7,3.719453
14.0,7,3.73386
-4.0,7,3.74822
4.0,7,3.767177
2.0,7,3.783401
8.0,7,3.803905
-3.0,7,3.81833
-21.0,7,3.832559
8.0,7,3.851216
-19.0,7,3.865515
39.0,7,3.886035
-1.0,7,3.900374
-2.0,7,3.914702
-24.0,7,3.933355
5.0,7,3.94771
17.0,7,3.966481
-18.0,7,3.980614
-25.0,7,3.997256
3.0,7,4.016628
-16.0,7,4.030782
-25.0,7,4.049203
-24.0,7,4.06338
-21.0,7,4.077524
1.0,7,4.097852
-6.0,7,4.111914
-1.0,7,4.130342
30.0,7,4.144389
-16.0,7,4.158429
-22.0,7,4.176814
26.0,7,4.192748
-3.0,7,4.211188
0.0,7,4.225275
-16.0,7,4.239338
-19.0,7,4.258033
-7.0,7,4.272473
-24.0,7,4.292989
2.0,7,4.308733
7.0,7,4.32289
37.0,7,4.341455
-24.0,7,4.355895
15.0,7,4.374863
-24.0,7,4.389262
-19.0,7,4.405556
-3.0,7,4.424406
16.0,7,4.438805
8.0,7,4.4577
24.0,7,4.472253
17.0,7,4.486485
35.0,7,4.506971
-19.0,7,4.521165
28.0,7,4.539614
38.0,7,4.553843
-3.0,7,4.568027
7.0,7,4.586671
3.0,7,4.604752
22.0,7,4.623606
-19.0,7,4.637848
-4.0,7,4.652025
-21.0,7,4.673589
4.0,7,4.687696
-23.0,7,4.708375
-24.0,7,4.722748
6.0,7,4.737059
21.0,7,4.755871
-1.0,7,4.770166
-4.0,7,4.788979
9.0,7,4.805221
45.0,7,4.819594
18.0,7,4.838464
-1.0,7,4.852808
59.0,7,4.871643
-9.0,7,4.885993
-1.0,7,4.902224
-1.0,7,4.922882
16.0,7,4.937258
2.0,7,4.95623
-13.0,7,4.970689
1.0,7,4.984949
3.0,7,5.003642
-24.0,7,5.020061
18.0,7,5.038706
7.0,7,5.053021
11.0,7,5.067375
17.0,7,5.086044
10.0,7,5.100294
-19.0,7,5.120818
-3.0,7,5.135103
-20.0,7,5.14939
14.0,7,5.168096
-2.0,7,5.182359
36.0,7,5.201146
38.0,7,5.218675
-2.0,7,5.233424
-1.0,7,5.252231
-19.0,7,5.266528
-25.0,7,5.285389
-1.0,7,5.299676
21.0,7,5.315967
-19.0,7,5.334714
6.0,7,5.348982
-19.0,7,5.367605
22.0,7,5.381862
-3.0,7,5.396039
3.0,7,5.417893
2.0,7,5.432168
-25.0,7,5.450827
-23.0,7,5.465092
-19.0,7,5.479312
2.0,7,5.497895
17.0,7,5.513034
23.0,7,5.533576
-2.0,7,5.547859
22.0,7,5.562157
17.0,7,5.580776
0.0,7,5.595026
42.0,7,5.613845
-2.0,7,5.630081
-23.0,7,5.644401
-2.0,7,5.663168
-2.0,7,5.677588
-16.0,7,5.696352
-20.0,7,5.710955
28.0,7,5.727084
-2.0,7,5.745759
-25.0,7,5.760013
21.0,7,5.778677
19.0,7,5.792843
19.0,7,5.807319
0.0,7,5.828093
18.0,7,5.842485
-19.0,7,5.864377
-3.0,7,5.87875
4.0,7,5.893121
-21.0,7,5.913621
-2.0,7,5.930007
-14.0,7,5.948823
-20.0,7,5.963294
-1.0,7,5.978258
-24.0,7,5.998481
-7.0,7,6.013871
18.0,7,6.035553
4.0,7,6.05003
5.0,7,6.064417
-14.0,7,6.083447
-19.0,7,6.09775
-14.0,7,6.116672
-7.0,7,6.133124
-20.0,7,6.147393
-6.0,7,6.166248
3.0,7,6.180522
5.0,7,6.199295
14.0,7,6.215198
-3.0,7,6.231772
-3.0,7,6.250377
1.0,7,6.264665
-7.0,7,6.283394
-20.0,7,6.297889
-6.0,7,6.312123
22.0,7,6.330703
6.0,7,6.346889
43.0,7,6.365362
22.0,7,6.379483
23.0,7,6.393593
-25.0,7,6.412365
3.0,7,6.426502
3.0,7,6.44692
18.0,7,6.461017
7.0,7,6.475202
-1.0,7,6.493677
0.0,7,6.508271
-2.0,7,6.528275
20.0,7,6.544658
-19.0,7,6.558848
4.0,7,6.57733
37.0,7,6.5915
16.0,7,6.609914
29.0,7,6.623991
23.0,7,6.640126
21.0,7,6.6587
-25.0,7,6.672941
42.0,7,6.691488
24.0,7,6.705722
4.0,7,6.720078
-20.0,7,6.738637
-19.0,7,6.754745
1.0,7,6.773325
13.0,7,6.787773
4.0,7,6.802296
-13.0,7,6.821239
-2.0,7,6.835578
21.0,7,6.856047
18.0,7,6.87045
-7.0,7,6.884848
60.0,7,6.903908
-7.0,7,6.918603
16.0,7,6.937485
21.0,7,6.954265
-1.0,7,6.968735
2.0,7,6.98754
-20.0,7,7.002272
-25.0,7,7.021442
