#{"t_start": 1764267798.11314, "env_id": "None"}
r,l,t
21.0,7,0.009355
-4.0,7,0.021735
-4.0,7,0.033774
-24.0,7,0.045517
-16.0,7,0.057139
-4.0,7,0.068775
38.0,7,0.080549
19.0,7,0.09226
27.0,7,0.103989
4.0,7,0.115717
22.0,7,0.127352
20.0,7,0.139001
5.0,7,0.150585
-6.0,7,0.162502
-3.0,7,0.174235
-12.0,7,0.18589
19.0,7,0.19769
-3.0,7,0.20959
17.0,7,0.221421
16.0,7,0.233584
6.0,7,0.245452
12.0,7,0.257192
-1.0,7,0.26908
4.0,7,0.28071
19.0,7,0.292308
-1.0,7,0.303911
22.0,7,0.315567
-23.0,7,0.327281
21.0,7,0.338943
-24.0,7,0.352712
10.0,7,0.366623
-6.0,7,0.380493
14.0,7,0.394311
-3.0,7,0.408207
-14.0,7,0.422014
15.0,7,0.435756
2.0,7,0.449438
-20.0,7,0.461227
1.0,7,0.472866
-3.0,7,0.485118
-2.0,7,0.497758
1.0,7,0.510089
-9.0,7,0.521935
2.0,7,0.53363
-2.0,7,0.545218
-10.0,7,0.556743
-3.0,7,0.568338
10.0,7,0.579952
-24.0,7,0.591526
2.0,7,0.603078
-3.0,7,0.614635
0.0,7,0.626173
19.0,7,0.637741
27.0,7,0.64928
-3.0,7,0.66084
2.0,7,0.672273
22.0,7,0.683783
18.0,7,0.695308
4.0,7,0.706942
-25.0,7,0.718584
19.0,7,0.730141
-18.0,7,0.741599
40.0,7,0.753051
17.0,7,0.764666
1.0,7,0.776248
34.0,7,0.787882
-22.0,7,0.79936
-3.0,7,0.812617
-2.0,7,0.825893
-16.0,7,0.837626
-4.0,7,0.84932
1.0,7,0.861015
-3.0,7,0.872712
-16.0,7,0.884394
-9.0,7,0.896174
20.0,7,0.90791
40.0,7,0.919534
17.0,7,0.931256
20.0,7,0.94293
18.0,7,0.954533
0.0,7,0.966124
-11.0,7,0.977694
5.0,7,0.989244
-3.0,7,1.000742
20.0,7,1.012226
-2.0,7,1.023716
-18.0,7,1.035181
17.0,7,1.046558
31.0,7,1.058099
-16.0,7,1.069491
-4.0,7,1.080963
3.0,7,1.092386
-6.0,7,1.103941
-23.0,7,1.115864
-3.0,7,1.127692
-18.0,7,1.139329
-3.0,7,1.150943
16.0,7,1.162602
-16.0,7,1.174216
17.0,7,1.186028
14.0,7,1.197602
37.0,7,1.209144
-5.0,7,1.220569
-3.0,7,1.232055
-2.0,7,1.243552
7.0,7,1.255048
24.0,7,1.266518
9.0,7,1.278026
39.0,7,1.289457
-4.0,7,1.301053
2.0,7,1.312568
10.0,7,1.324087
10.0,7,1.335462
-24.0,7,1.347086
39.0,7,1.358576
-5.0,7,1.370137
-2.0,7,1.382642
18.0,7,1.395526
-1.0,7,1.407045
15.0,7,1.418547
-1.0,7,1.430161
5.0,7,1.441851
3.0,7,1.453519
5.0,7,1.465057
-22.0,7,1.476741
-16.0,7,1.488264
14.0,7,1.499837
7.0,7,1.511479
-18.0,7,1.523282
0.0,7,1.534929
2.0,7,1.546596
15.0,7,1.558176
-5.0,7,1.569816
-5.0,7,1.581414
-3.0,7,1.593
-20.0,7,1.604539
21.0,7,1.616224
37.0,7,1.627813
8.0,7,1.639315
