#{"t_start": 1764267203.1132102, "env_id": "None"}
r,l,t
-2.0,7,6.12244
-17.0,7,6.567676
-23.0,7,6.580291
36.0,7,6.592304
-3.0,7,6.604136
-2.0,7,6.615884
3.0,7,6.627604
-4.0,7,6.639494
9.0,7,6.651253
24.0,7,6.663022
1.0,7,6.674752
17.0,7,6.686357
-14.0,7,6.697991
-20.0,7,6.709619
43.0,7,6.721338
4.0,7,6.733101
-2.0,7,6.744694
-2.0,7,6.756401
15.0,7,6.768097
45.0,7,6.779797
18.0,7,6.791534
-6.0,7,6.803278
-3.0,7,6.815122
1.0,7,6.826823
-23.0,7,6.838541
-3.0,7,6.850256
2.0,7,6.862016
-9.0,7,6.873733
-6.0,7,6.885363
49.0,7,6.897079
-24.0,7,6.908777
-6.0,7,6.920467
21.0,7,6.932149
-23.0,7,6.94379
-12.0,7,6.955422
-24.0,7,6.967129
-19.0,7,6.978807
2.0,7,6.990391
-3.0,7,7.002067
11.0,7,7.013774
19.0,7,7.02545
16.0,7,7.037171
20.0,7,7.048818
-1.0,7,7.060504
20.0,7,7.072187
-17.0,7,7.083785
-24.0,7,7.095476
17.0,7,7.107197
20.0,7,7.118679
1.0,7,7.130423
-25.0,7,7.142172
-8.0,7,7.153875
45.0,7,7.165596
-6.0,7,7.177333
-5.0,7,7.18912
67.0,7,7.201603
-4.0,7,7.213385
-15.0,7,7.225188
-1.0,7,7.236905
5.0,7,7.248696
15.0,7,7.260446
-2.0,7,7.27218
-20.0,7,7.283985
-2.0,7,7.295738
27.0,7,7.307417
-4.0,7,7.319159
19.0,7,7.331924
1.0,7,7.344976
-3.0,7,7.358112
-20.0,7,7.370765
-19.0,7,7.382465
-7.0,7,7.39415
11.0,7,7.405887
-3.0,7,7.417477
44.0,7,7.429235
-7.0,7,7.442858
-25.0,7,7.455275
-25.0,7,7.467311
17.0,7,7.47944
6.0,7,7.493377
21.0,7,7.50604
-15.0,7,7.518076
28.0,7,7.530187
5.0,7,7.542303
0.0,7,7.554337
33.0,7,7.566326
43.0,7,7.57888
-5.0,7,7.592066
