#{"t_start": 1764200037.8705292, "env_id": "None"}
r,l,t
-3.0,7,0.009365
22.0,7,0.010718
-5.0,7,0.01206
0.0,7,0.012981
5.0,7,0.016913
-21.0,7,0.017862
-5.0,7,0.0188
-17.0,7,0.019656
28.0,7,0.023162
10.0,7,0.024089
-3.0,7,0.024967
-19.0,7,0.025836
-11.0,7,0.029286
-2.0,7,0.030191
-2.0,7,0.031095
-3.0,7,0.031968
5.0,7,0.035393
-16.0,7,0.036316
60.0,7,0.037211
-6.0,7,0.038057
-4.0,7,0.041499
-8.0,7,0.042423
-21.0,7,0.043307
0.0,7,0.044129
21.0,7,0.047566
-4.0,7,0.048497
-10.0,7,0.049395
0.0,7,0.050195
3.0,7,0.053654
5.0,7,0.054547
-3.0,7,0.055463
0.0,7,0.056263
-4.0,7,0.059661
22.0,7,0.060576
0.0,7,0.06146
-5.0,7,0.062285
-17.0,7,0.065697
-19.0,7,0.066648
-16.0,7,0.067514
7.0,7,0.068387
0.0,7,0.071837
-16.0,7,0.072752
20.0,7,0.073691
-17.0,7,0.074488
26.0,7,0.077922
24.0,7,0.078866
12.0,7,0.079798
36.0,7,0.080641
-1.0,7,0.084046
-5.0,7,0.084942
-4.0,7,0.085812
-1.0,7,0.086674
7.0,7,0.090061
38.0,7,0.090983
11.0,7,0.091921
19.0,7,0.092785
1.0,7,0.096256
42.0,7,0.09716
10.0,7,0.098037
18.0,7,0.098882
18.0,7,0.102344
-11.0,7,0.103271
19.0,7,0.104149
-1.0,7,0.105005
14.0,7,0.11051
-15.0,7,0.111455
-12.0,7,0.112306
-1.0,7,0.113161
23.0,7,0.116671
-3.0,7,0.11758
-23.0,7,0.118473
-1.0,7,0.119328
20.0,7,0.122834
15.0,7,0.12373
-3.0,7,0.124629
1.0,7,0.125488
30.0,7,0.128923
24.0,7,0.129811
11.0,7,0.130719
1.0,7,0.131597
-2.0,7,0.135051
5.0,7,0.135951
3.0,7,0.136862
3.0,7,0.137696
5.0,7,0.141121
-16.0,7,0.142042
4.0,7,0.142923
-6.0,7,0.143786
18.0,7,0.147309
15.0,7,0.148218
1.0,7,0.149154
-1.0,7,0.150003
-16.0,7,0.153542
-3.0,7,0.154479
-2.0,7,0.155404
0.0,7,0.156266
23.0,7,0.159775
-6.0,7,0.160731
-2.0,7,0.161648
-17.0,7,0.162494
0.0,7,0.165926
-20.0,7,0.16693
43.0,7,0.167878
5.0,7,0.168711
42.0,7,0.17214
-2.0,7,0.173078
-7.0,7,0.173987
17.0,7,0.174836
20.0,7,0.178288
-3.0,7,0.179216
2.0,7,0.18011
-2.0,7,0.180949
-12.0,7,0.184381
6.0,7,0.1853
-21.0,7,0.18618
11.0,7,0.187026
-21.0,7,0.190421
3.0,7,0.19134
0.0,7,0.192229
29.0,7,0.193086
-6.0,7,0.196522
17.0,7,0.197454
61.0,7,0.198361
-4.0,7,0.199194
8.0,7,0.202626
19.0,7,0.20354
-3.0,7,0.204445
22.0,7,0.205254
35.0,7,0.208721
6.0,7,0.209656
6.0,7,0.210528
-7.0,7,0.213405
23.0,7,0.216989
-16.0,7,0.217912
16.0,7,0.218805
5.0,7,0.219662
1.0,7,0.223113
7.0,7,0.223992
6.0,7,0.224897
2.0,7,0.225805
-24.0,7,0.229304
-3.0,7,0.230187
17.0,7,0.232063
-23.0,7,0.286917
-3.0,7,0.296982
52.0,7,0.3035
-22.0,7,0.310764
25.0,7,0.316788
14.0,7,0.326099
2.0,7,0.333482
-19.0,7,0.341201
18.0,7,0.346184
-2.0,7,0.355792
1.0,7,0.362634
3.0,7,0.369005
8.0,7,0.372936
17.0,7,0.381655
14.0,7,0.388053
21.0,7,0.393982
7.0,7,0.398878
18.0,7,0.408513
-21.0,7,0.416007
-16.0,7,0.424024
-4.0,7,0.427492
15.0,7,0.437353
-21.0,7,0.444748
-12.0,7,0.451316
-3.0,7,0.45714
-2.0,7,0.471723
-2.0,7,0.480539
17.0,7,0.486433
18.0,7,0.489834
-6.0,7,0.498824
-10.0,7,0.505739
22.0,7,0.51336
5.0,7,0.521272
31.0,7,0.531963
-15.0,7,0.538482
-3.0,7,0.544875
-16.0,7,0.549251
-16.0,7,0.559012
29.0,7,0.565451
-18.0,7,0.572335
19.0,7,0.575866
2.0,7,0.586167
2.0,7,0.593183
15.0,7,0.600048
5.0,7,0.604069
7.0,7,0.614872
-21.0,7,0.623388
5.0,7,0.629537
42.0,7,0.635467
-25.0,7,0.644515
-4.0,7,0.651943
21.0,7,0.659123
23.0,7,0.664263
-2.0,7,0.675997
-4.0,7,0.682994
10.0,7,0.690476
17.0,7,0.695049
6.0,7,0.704912
41.0,7,0.711442
14.0,7,0.718037
-11.0,7,0.722517
-11.0,7,0.735194
-22.0,7,0.742178
-20.0,7,0.749122
18.0,7,0.753655
-3.0,7,0.763455
16.0,7,0.769967
17.0,7,0.776937
2.0,7,0.780483
-21.0,7,0.789351
17.0,7,0.796624
-5.0,7,0.804895
39.0,7,0.809828
15.0,7,0.820615
12.0,7,0.829954
2.0,7,0.836896
23.0,7,0.840892
-21.0,7,0.8496
-2.0,7,0.856984
25.0,7,0.864311
-2.0,7,0.868356
-7.0,7,0.878159
17.0,7,0.884504
-17.0,7,0.891802
20.0,7,0.896333
-19.0,7,0.906049
-23.0,7,0.913517
-14.0,7,0.919892
-1.0,7,0.924809
-16.0,7,0.936612
-20.0,7,0.943077
5.0,7,0.950439
-16.0,7,0.954941
-11.0,7,0.965427
-23.0,7,0.973818
-18.0,7,0.980298
0.0,7,0.984274
-16.0,7,0.993055
16.0,7,1.000891
-14.0,7,1.007422
18.0,7,1.012008
3.0,7,1.022818
-21.0,7,1.029314
-21.0,7,1.037371
7.0,7,1.042224
28.0,7,1.05156
-23.0,7,1.058046
-4.0,7,1.065819
-12.0,7,1.070325
22.0,7,1.081001
-11.0,7,1.088751
-3.0,7,1.096106
-16.0,7,1.100073
-11.0,7,1.110298
2.0,7,1.116794
1.0,7,1.124065
1.0,7,1.129468
-10.0,7,1.141336
8.0,7,1.148091
15.0,7,1.155493
-17.0,7,1.161153
16.0,7,1.17202
2.0,7,1.17996
22.0,7,1.18683
23.0,7,1.192293
12.0,7,1.202738
5.0,7,1.210302
-21.0,7,1.216829
3.0,7,1.221295
18.0,7,1.231838
-23.0,7,1.240538
26.0,7,1.248005
-23.0,7,1.254488
4.0,7,1.265393
-23.0,7,1.273072
-11.0,7,1.279535
7.0,7,1.284029
-4.0,7,1.294945
-23.0,7,1.302049
-13.0,7,1.309561
7.0,7,1.314061
1.0,7,1.323982
0.0,7,1.33123
2.0,7,1.33815
5.0,7,1.344428
-21.0,7,1.35514
23.0,7,1.363803
-4.0,7,1.371175
-4.0,7,1.376773
23.0,7,1.386276
-6.0,7,1.393282
3.0,7,1.399666
-2.0,7,1.404078
2.0,7,1.41563
0.0,7,1.423815
-20.0,7,1.431409
-11.0,7,1.435917
