#{"t_start": 1764361700.7024086, "env_id": "None"}
r,l,t
35.0,7,0.018897
8.0,7,0.028686
-21.0,7,0.038271
24.0,7,0.047842
18.0,7,0.057375
-24.0,7,0.067025
-1.0,7,0.076578
0.0,7,0.086142
5.0,7,0.095623
-12.0,7,0.105212
-2.0,7,0.117283
44.0,7,0.126902
16.0,7,0.136502
-13.0,7,0.146143
22.0,7,0.155708
-23.0,7,0.16531
2.0,7,0.174916
6.0,7,0.184468
17.0,7,0.194075
0.0,7,0.203562
21.0,7,0.215438
-1.0,7,0.225047
16.0,7,0.23463
19.0,7,0.244262
-5.0,7,0.253873
7.0,7,0.263746
33.0,7,0.273354
40.0,7,0.282913
27.0,7,0.292448
-7.0,7,0.302026
27.0,7,0.313776
18.0,7,0.323758
17.0,7,0.333336
-3.0,7,0.342938
-2.0,7,0.352421
-3.0,7,0.362013
5.0,7,0.373553
21.0,7,0.383464
-8.0,7,0.393019
10.0,7,0.40246
-3.0,7,0.411997
39.0,7,0.423887
0.0,7,0.433405
18.0,7,0.443122
2.0,7,0.452469
18.0,7,0.462129
-23.0,7,0.47175
-20.0,7,0.481356
17.0,7,0.49099
-12.0,7,0.500564
-5.0,7,0.510087
-11.0,7,0.522034
37.0,7,0.531716
-22.0,7,0.541287
-3.0,7,0.550943
-11.0,7,0.560507
16.0,7,0.570179
-7.0,7,0.579819
15.0,7,0.589372
-14.0,7,0.598979
35.0,7,0.608597
26.0,7,0.618229
-17.0,7,0.630289
-23.0,7,0.639974
-21.0,7,0.650144
39.0,7,0.659767
4.0,7,0.669244
-6.0,7,0.678885
17.0,7,0.688502
4.0,7,0.698111
19.0,7,0.707672
41.0,7,0.717233
-16.0,7,0.729119
12.0,7,0.738791
41.0,7,0.748412
-19.0,7,0.758032
20.0,7,0.767782
9.0,7,0.777397
6.0,7,0.786989
12.0,7,0.797004
11.0,7,0.806632
5.0,7,0.816363
-20.0,7,0.828188
-21.0,7,0.837717
-21.0,7,0.84738
-16.0,7,0.856946
-18.0,7,0.866552
13.0,7,0.876095
33.0,7,0.885734
-4.0,7,0.895332
-2.0,7,0.904903
-17.0,7,0.914516
25.0,7,0.924137
-15.0,7,0.935909
23.0,7,0.945471
6.0,7,0.955095
3.0,7,0.964935
2.0,7,0.974483
0.0,7,0.98406
-18.0,7,0.993691
-2.0,7,1.003223
-5.0,7,1.012849
-2.0,7,1.022482
21.0,7,1.034532
-22.0,7,1.044272
22.0,7,1.053907
20.0,7,1.063488
16.0,7,1.073117
-8.0,7,1.08269
5.0,7,1.092574
19.0,7,1.102211
1.0,7,1.111833
18.0,7,1.121479
7.0,7,1.133311
23.0,7,1.142927
1.0,7,1.152536
7.0,7,1.162052
6.0,7,1.171666
-2.0,7,1.18123
18.0,7,1.190851
0.0,7,1.200457
-6.0,7,1.210077
33.0,7,1.219673
5.0,7,1.229318
77.0,7,1.241205
2.0,7,1.250758
6.0,7,1.260224
44.0,7,1.269829
1.0,7,1.279411
-4.0,7,1.289181
18.0,7,1.298748
-21.0,7,1.308298
-19.0,7,1.317953
-4.0,7,1.32763
3.0,7,1.339588
-6.0,7,1.349226
-24.0,7,1.358808
-21.0,7,1.368423
5.0,7,1.378
7.0,7,1.387658
6.0,7,1.397251
-17.0,7,1.40679
23.0,7,1.416367
23.0,7,1.425944
37.0,7,1.435502
-15.0,7,1.44962
20.0,7,1.460755
-17.0,7,1.470345
-5.0,7,1.479993
-7.0,7,1.489787
0.0,7,1.499369
-25.0,7,1.509023
-17.0,7,1.51861
4.0,7,1.528326
-1.0,7,1.537945
11.0,7,1.549839
-10.0,7,1.559878
39.0,7,1.569425
-21.0,7,1.579201
-7.0,7,1.588866
6.0,7,1.598459
2.0,7,1.608108
-16.0,7,1.617567
26.0,7,1.627104
-3.0,7,1.636791
-15.0,7,1.648874
1.0,7,1.658434
15.0,7,1.668425
-15.0,7,1.679284
1.0,7,1.688945
-24.0,7,1.698495
1.0,7,1.708119
0.0,7,1.717675
-18.0,7,1.727483
-15.0,7,1.737126
-3.0,7,1.749009
-5.0,7,1.758579
19.0,7,1.768244
22.0,7,1.777828
-15.0,7,1.787405
-5.0,7,1.796894
-1.0,7,1.806438
-4.0,7,1.815856
16.0,7,1.825396
2.0,7,1.835035
17.0,7,1.844585
-20.0,7,1.856555
-6.0,7,1.866179
18.0,7,1.875906
2.0,7,1.885599
43.0,7,1.895617
-2.0,7,1.905518
36.0,7,1.915236
-15.0,7,1.92484
-4.0,7,1.934406
-6.0,7,1.944059
32.0,7,1.956079
-6.0,7,1.965708
0.0,7,1.975293
-16.0,7,1.984838
-6.0,7,1.994416
-1.0,7,2.004225
-20.0,7,2.013858
19.0,7,2.023452
-18.0,7,2.033115
-1.0,7,2.042635
1.0,7,2.052284
15.0,7,2.064326
8.0,7,2.074298
-11.0,7,2.083916
-14.0,7,2.093453
-5.0,7,2.103052
-5.0,7,2.112618
5.0,7,2.122219
-18.0,7,2.131862
-16.0,7,2.14142
-17.0,7,2.151012
0.0,7,2.162922
-5.0,7,2.17254
19.0,7,2.182148
-10.0,7,2.191694
-1.0,7,2.201283
-2.0,7,2.210916
0.0,7,2.220466
-21.0,7,2.230074
-18.0,7,2.239673
17.0,7,2.249276
6.0,7,2.261074
-4.0,7,2.270774
-4.0,7,2.280333
7.0,7,2.289971
18.0,7,2.299567
0.0,7,2.309168
-20.0,7,2.31905
-10.0,7,2.32862
-24.0,7,2.33829
4.0,7,2.347929
14.0,7,2.357483
-6.0,7,2.36948
3.0,7,2.379094
0.0,7,2.388605
11.0,7,2.398195
1.0,7,2.407739
4.0,7,2.417297
-2.0,7,2.426868
43.0,7,2.436487
-17.0,7,2.446083
3.0,7,2.45558
-21.0,7,2.467576
-10.0,7,2.47717
5.0,7,2.486755
-15.0,7,2.496283
16.0,7,2.505883
1.0,7,2.515453
0.0,7,2.525085
-4.0,7,2.534694
-17.0,7,2.544333
-1.0,7,2.553951
-24.0,7,2.563436
5.0,7,2.575688
-3.0,7,2.585328
8.0,7,2.595005
-5.0,7,2.604683
9.0,7,2.614323
-24.0,7,2.623857
9.0,7,2.633467
-11.0,7,2.643062
5.0,7,2.652616
-4.0,7,2.6622
-21.0,7,2.674423
16.0,7,2.684088
3.0,7,2.693637
-19.0,7,2.703245
-4.0,7,2.712784
17.0,7,2.72235
14.0,7,2.732006
7.0,7,2.741618
21.0,7,2.751283
0.0,7,2.760835
-16.0,7,2.772846
-3.0,7,2.782385
30.0,7,2.792008
17.0,7,2.801589
-25.0,7,2.811251
3.0,7,2.820797
-11.0,7,2.830352
44.0,7,2.839956
-24.0,7,2.849542
14.0,7,2.859125
27.0,7,2.868901
-3.0,7,2.880896
1.0,7,2.890491
17.0,7,4.280357
-21.0,7,4.290151
-3.0,7,4.299854
-24.0,7,4.311621
15.0,7,4.321331
21.0,7,4.330993
11.0,7,4.34059
5.0,7,4.350235
16.0,7,4.359856
-8.0,7,4.369532
1.0,7,4.379234
78.0,7,4.388945
-16.0,7,4.398522
18.0,7,4.410122
-19.0,7,4.419756
23.0,7,4.429405
10.0,7,4.43904
-3.0,7,4.448844
2.0,7,4.458455
31.0,7,4.468117
-10.0,7,4.477774
1.0,7,4.487554
-15.0,7,4.497058
-3.0,7,4.506702
0.0,7,4.518465
23.0,7,4.528131
2.0,7,4.537793
-1.0,7,4.547427
19.0,7,4.557075
3.0,7,4.566679
19.0,7,4.576371
-4.0,7,4.586047
19.0,7,4.595621
43.0,7,4.605283
3.0,7,4.617021
0.0,7,4.626687
-18.0,7,4.636297
-3.0,7,4.645955
41.0,7,4.655516
-18.0,7,4.665131
-13.0,7,4.674806
-2.0,7,4.684585
-24.0,7,4.694331
-2.0,7,4.70415
2.0,7,4.715921
5.0,7,4.725559
4.0,7,4.735126
61.0,7,4.744785
-1.0,7,4.754428
0.0,7,4.76417
-1.0,7,4.773808
-2.0,7,4.783442
42.0,7,4.793108
5.0,7,4.802716
-7.0,7,4.812388
-5.0,7,4.8241
-8.0,7,4.83376
0.0,7,4.843379
-4.0,7,4.85306
-23.0,7,4.862669
3.0,7,4.872307
-4.0,7,4.882308
-23.0,7,4.891927
-2.0,7,4.901542
38.0,7,4.911193
-20.0,7,4.9229
-17.0,7,4.932543
24.0,7,4.942071
21.0,7,4.951639
-12.0,7,4.961194
18.0,7,4.970806
33.0,7,4.980443
19.0,7,4.9903
39.0,7,4.999956
-21.0,7,5.009659
-3.0,7,5.021383
23.0,7,5.031096
17.0,7,5.040755
-21.0,7,5.050337
56.0,7,5.059975
-24.0,7,5.069518
-7.0,7,5.079148
-1.0,7,5.088801
-1.0,7,5.098488
5.0,7,5.108135
1.0,7,5.117782
19.0,7,5.129472
-4.0,7,5.13916
-21.0,7,5.148696
-11.0,7,5.158706
-4.0,7,5.168343
1.0,7,5.17791
-20.0,7,5.187705
-2.0,7,5.197447
1.0,7,5.20706
3.0,7,5.216667
21.0,7,5.228435
-5.0,7,5.238246
-6.0,7,5.247824
0.0,7,5.257563
-16.0,7,5.267164
0.0,7,5.276821
-2.0,7,5.286487
13.0,7,5.296168
-7.0,7,5.305891
13.0,7,5.315522
-2.0,7,5.327193
-24.0,7,5.336893
16.0,7,5.346495
-8.0,7,5.356499
46.0,7,5.366475
-19.0,7,5.377026
-16.0,7,5.387717
6.0,7,5.397389
33.0,7,5.407151
-11.0,7,5.416725
-20.0,7,5.426336
6.0,7,5.438075
0.0,7,5.447693
-5.0,7,5.457334
19.0,7,5.466997
-25.0,7,5.476628
-23.0,7,5.486307
-21.0,7,5.495781
-4.0,7,5.505584
9.0,7,5.515219
5.0,7,5.524845
16.0,7,5.536739
-21.0,7,5.546396
-25.0,7,5.55614
-10.0,7,5.56577
18.0,7,5.57535
19.0,7,5.584965
24.0,7,5.594584
-21.0,7,5.604181
20.0,7,5.613857
-4.0,7,5.623476
-20.0,7,5.635198
-1.0,7,5.644825
-5.0,7,5.654473
-24.0,7,5.664071
14.0,7,5.673755
-3.0,7,5.683388
-3.0,7,5.693633
-2.0,7,5.703426
7.0,7,5.713125
19.0,7,5.722703
-24.0,7,5.732357
-21.0,7,5.744114
-12.0,7,5.753756
-20.0,7,5.763307
1.0,7,5.772958
26.0,7,5.782495
40.0,7,5.792115
15.0,7,5.801742
37.0,7,5.811377
28.0,7,5.821052
-2.0,7,5.83063
-6.0,7,5.842282
-4.0,7,5.851929
-17.0,7,5.861506
1.0,7,5.87112
0.0,7,5.880697
-13.0,7,5.890488
3.0,7,5.900201
3.0,7,5.91026
41.0,7,5.919912
-2.0,7,5.929545
1.0,7,5.941224
3.0,7,5.950994
3.0,7,5.960904
1.0,7,5.970472
16.0,7,5.980061
2.0,7,5.989693
2.0,7,5.999408
-13.0,7,6.009058
19.0,7,6.018623
-24.0,7,6.028281
-20.0,7,6.037912
7.0,7,6.049682
-16.0,7,6.059143
20.0,7,6.068754
4.0,7,6.07832
-2.0,7,6.08793
-3.0,7,6.097516
22.0,7,6.107108
-16.0,7,6.116682
20.0,7,6.126333
29.0,7,6.136013
-1.0,7,6.14775
-2.0,7,6.15739
-15.0,7,6.166978
-17.0,7,6.1766
2.0,7,6.186244
-6.0,7,6.196006
2.0,7,6.206308
-11.0,7,6.21589
15.0,7,6.225495
-7.0,7,6.235354
-14.0,7,6.247125
-4.0,7,6.256907
-6.0,7,6.266525
2.0,7,6.276077
-3.0,7,6.285635
3.0,7,6.295281
17.0,7,6.304929
-1.0,7,6.314551
-19.0,7,6.324198
-22.0,7,6.333769
-2.0,7,6.343368
0.0,7,6.355327
-21.0,7,6.365404
-4.0,7,6.375412
2.0,7,6.38567
15.0,7,6.396136
-3.0,7,6.406224
-3.0,7,6.416597
1.0,7,6.426533
-4.0,7,6.436455
17.0,7,6.446298
-2.0,7,6.458315
2.0,7,6.467999
-4.0,7,6.477701
10.0,7,6.487386
-1.0,7,6.497053
2.0,7,6.50674
-18.0,7,6.516482
40.0,7,6.526295
-3.0,7,6.536234
2.0,7,6.546574
25.0,7,6.558538
1.0,7,6.568326
40.0,7,6.578058
-16.0,7,6.587792
15.0,7,6.59727
-20.0,7,6.606849
-21.0,7,6.616531
4.0,7,6.626328
20.0,7,6.636063
-12.0,7,6.645873
17.0,7,6.658059
-20.0,7,6.667717
-2.0,7,6.677291
17.0,7,6.686931
-6.0,7,6.69661
0.0,7,6.706198
18.0,7,6.715812
26.0,7,6.725444
5.0,7,6.735042
2.0,7,6.744664
6.0,7,6.75436
-3.0,7,6.767132
3.0,7,6.776695
33.0,7,6.78622
-4.0,7,6.79577
10.0,7,6.805198
36.0,7,6.81467
18.0,7,6.82409
5.0,7,6.833543
8.0,7,6.842943
-24.0,7,6.852363
-15.0,7,6.863991
42.0,7,6.873501
17.0,7,6.883003
5.0,7,6.89274
2.0,7,6.90234
16.0,7,6.911922
-24.0,7,6.921448
-2.0,7,6.931119
5.0,7,6.940511
-2.0,7,6.949835
17.0,7,6.95927
2.0,7,6.970822
2.0,7,6.9803
-4.0,7,6.989686
-4.0,7,6.999751
-6.0,7,7.009413
-22.0,7,7.01915
11.0,7,7.028805
-4.0,7,7.038424
-12.0,7,7.047948
-1.0,7,7.057563
21.0,7,7.069156
20.0,7,7.078702
-14.0,7,7.088333
-3.0,7,7.097855
-6.0,7,7.1075
-19.0,7,7.11717
17.0,7,7.126835
-17.0,7,7.13633
-21.0,7,7.145897
-24.0,7,7.155508
-23.0,7,7.167391
5.0,7,8.602135
1.0,7,8.611885
-22.0,7,8.621556
14.0,7,8.631276
14.0,7,8.640965
18.0,7,8.650693
3.0,7,8.660344
19.0,7,8.67126
16.0,7,8.681131
14.0,7,8.690847
2.0,7,8.700593
-13.0,7,8.712449
15.0,7,8.722177
18.0,7,8.731819
-24.0,7,8.7415
5.0,7,8.75118
35.0,7,8.760877
-3.0,7,8.770543
-6.0,7,8.780185
17.0,7,8.789884
12.0,7,8.799611
-2.0,7,8.811699
0.0,7,8.821436
-25.0,7,8.831194
56.0,7,8.840907
5.0,7,8.850592
11.0,7,8.860337
21.0,7,8.870244
-4.0,7,8.879924
16.0,7,8.889606
-3.0,7,8.899809
-16.0,7,8.911762
2.0,7,8.92151
-21.0,7,8.931205
-2.0,7,8.94088
8.0,7,8.950504
19.0,7,8.960207
-12.0,7,8.969901
-3.0,7,8.979531
2.0,7,8.989218
-4.0,7,8.99896
-19.0,7,9.010766
-2.0,7,9.02042
36.0,7,9.030126
18.0,7,9.039749
22.0,7,9.049406
-1.0,7,9.059076
-15.0,7,9.068711
3.0,7,9.078357
-1.0,7,9.088047
-3.0,7,9.097757
-1.0,7,9.107825
2.0,7,9.119546
56.0,7,9.129246
-5.0,7,9.138898
19.0,7,9.148541
-11.0,7,9.158128
5.0,7,9.16778
-19.0,7,9.177391
10.0,7,9.187075
-4.0,7,9.196793
-24.0,7,9.206505
7.0,7,9.218203
-4.0,7,9.227805
-3.0,7,9.237326
1.0,7,9.247032
1.0,7,9.256732
14.0,7,9.266403
-17.0,7,9.276068
17.0,7,9.285751
-24.0,7,9.295413
11.0,7,9.305494
-20.0,7,9.317341
2.0,7,9.327096
-25.0,7,9.336831
-7.0,7,9.34657
25.0,7,9.356311
-15.0,7,9.365993
36.0,7,9.375731
20.0,7,9.385487
-25.0,7,9.395226
-1.0,7,9.404993
2.0,7,9.414677
3.0,7,9.426501
17.0,7,9.436254
64.0,7,9.445985
-5.0,7,9.456303
18.0,7,9.465998
3.0,7,9.475631
24.0,7,9.485313
17.0,7,9.494922
-6.0,7,9.504965
-25.0,7,9.515178
6.0,7,9.526922
27.0,7,9.536578
-19.0,7,9.546277
20.0,7,9.555978
3.0,7,9.56567
-12.0,7,9.575364
-4.0,7,9.585104
0.0,7,9.594723
14.0,7,9.60442
-1.0,7,9.61405
-3.0,7,9.62581
-6.0,7,9.635435
-22.0,7,9.645085
-8.0,7,9.654696
-17.0,7,9.664354
-15.0,7,9.674045
39.0,7,9.683707
-23.0,7,9.693378
26.0,7,9.70332
-6.0,7,9.713148
-21.0,7,9.722824
-2.0,7,9.734585
-25.0,7,9.744284
3.0,7,9.753965
-1.0,7,9.763614
2.0,7,9.773332
-17.0,7,9.783047
21.0,7,9.792678
42.0,7,9.802358
7.0,7,9.812086
-4.0,7,9.821776
-6.0,7,9.833615
-16.0,7,9.843279
7.0,7,9.852964
-5.0,7,9.86263
35.0,7,9.872331
38.0,7,9.929984
5.0,7,9.939729
5.0,7,9.949372
3.0,7,9.959121
-23.0,7,9.968805
38.0,7,9.9785
7.0,7,9.988191
-10.0,7,9.997876
2.0,7,10.007547
-21.0,7,10.017185
-5.0,7,10.026865
0.0,7,10.038487
-4.0,7,10.048172
-1.0,7,10.057806
18.0,7,10.067443
21.0,7,10.077086
19.0,7,10.086748
-6.0,7,10.096412
-16.0,7,10.106061
-16.0,7,10.115701
-1.0,7,10.125234
44.0,7,10.136909
-7.0,7,10.146582
-17.0,7,10.156278
-20.0,7,10.165982
5.0,7,10.175745
19.0,7,10.185396
-21.0,7,10.195067
3.0,7,10.204795
-14.0,7,10.214853
-20.0,7,10.22452
15.0,7,10.236293
-5.0,7,10.245955
26.0,7,10.255661
-23.0,7,10.265345
9.0,7,10.275062
-5.0,7,10.284692
0.0,7,10.294387
2.0,7,10.304087
20.0,7,10.313769
-2.0,7,10.323448
-1.0,7,10.333203
24.0,7,10.345
-19.0,7,10.354738
-1.0,7,10.364406
-4.0,7,10.374136
-11.0,7,10.383811
-22.0,7,10.393833
15.0,7,10.403498
1.0,7,10.413515
-3.0,7,10.423216
4.0,7,10.432906
-3.0,7,10.444696
-2.0,7,10.454401
15.0,7,10.464134
-6.0,7,10.47393
23.0,7,10.48356
4.0,7,10.493229
-3.0,7,10.502919
18.0,7,10.51253
1.0,7,10.522236
-17.0,7,10.531881
4.0,7,10.543656
18.0,7,10.553412
15.0,7,10.563179
-5.0,7,10.572924
-6.0,7,10.582578
14.0,7,10.592287
3.0,7,10.601962
28.0,7,10.612284
-20.0,7,10.621953
38.0,7,10.63168
-2.0,7,10.641401
-22.0,7,10.65323
2.0,7,10.662905
-11.0,7,10.672583
25.0,7,10.682387
2.0,7,10.692225
0.0,7,10.702092
-12.0,7,10.711826
-25.0,7,10.721512
-24.0,7,10.731262
-7.0,7,10.740925
7.0,7,10.752801
15.0,7,10.762504
4.0,7,10.772173
-3.0,7,10.781843
1.0,7,10.791502
36.0,7,10.801211
23.0,7,10.810963
-22.0,7,10.820608
17.0,7,10.830371
-20.0,7,10.840078
25.0,7,10.85196
-3.0,7,10.861576
21.0,7,10.871222
1.0,7,10.88081
-3.0,7,10.890478
1.0,7,10.900166
27.0,7,10.910298
35.0,7,10.920279
-2.0,7,10.929958
-19.0,7,10.939568
15.0,7,10.949236
-14.0,7,10.961205
-14.0,7,10.9709
-19.0,7,10.980711
2.0,7,10.990443
15.0,7,11.000111
-2.0,7,11.009804
18.0,7,11.01951
-2.0,7,11.029266
1.0,7,11.038963
41.0,7,11.048697
23.0,7,11.060669
-6.0,7,11.070381
-21.0,7,11.080067
2.0,7,11.089717
-22.0,7,11.099353
-18.0,7,11.109311
-16.0,7,11.11914
15.0,7,11.128848
-20.0,7,11.138521
59.0,7,11.148258
25.0,7,11.160083
26.0,7,11.17058
-14.0,7,11.180344
-21.0,7,11.190049
0.0,7,11.199748
-15.0,7,11.209411
6.0,7,11.219107
20.0,7,11.228891
3.0,7,11.238553
-17.0,7,11.248347
15.0,7,11.260185
45.0,7,11.26992
-2.0,7,11.279577
10.0,7,11.289236
23.0,7,11.298794
-5.0,7,11.308482
-13.0,7,11.318176
17.0,7,11.327874
-1.0,7,11.337524
-14.0,7,11.347206
3.0,7,11.35685
-21.0,7,11.368707
33.0,7,11.378458
-3.0,7,11.38836
36.0,7,11.39811
62.0,7,11.407833
-24.0,7,11.417962
21.0,7,11.427713
-3.0,7,11.437443
-3.0,7,11.447137
1.0,7,11.456823
-3.0,7,11.468681
-24.0,7,11.478373
15.0,7,11.488056
-22.0,7,11.49768
-13.0,7,11.507359
-18.0,7,11.517043
-16.0,7,11.526619
22.0,7,11.53631
-6.0,7,12.932193
20.0,7,12.942349
-1.0,7,12.952855
31.0,7,12.962815
1.0,7,12.972723
0.0,7,12.982498
-11.0,7,12.99222
-3.0,7,13.004114
27.0,7,13.01381
3.0,7,13.023387
-23.0,7,13.033151
-6.0,7,13.042827
3.0,7,13.052542
49.0,7,13.062254
21.0,7,13.071975
-16.0,7,13.081513
-10.0,7,13.091249
12.0,7,13.103104
-20.0,7,13.112826
21.0,7,13.12251
42.0,7,13.132282
1.0,7,13.141967
4.0,7,13.151709
17.0,7,13.161385
19.0,7,13.171204
-7.0,7,13.180829
3.0,7,13.190537
0.0,7,13.200159
12.0,7,13.211951
-2.0,7,13.222044
-4.0,7,13.23181
11.0,7,13.241447
-11.0,7,13.25115
-2.0,7,13.2608
36.0,7,13.270512
21.0,7,13.280188
-4.0,7,13.289891
-5.0,7,13.299572
36.0,7,13.311382
16.0,7,13.321086
-22.0,7,13.33073
18.0,7,13.340415
24.0,7,13.350116
-14.0,7,13.360688
41.0,7,13.372616
27.0,7,13.382701
1.0,7,13.392357
-2.0,7,13.401982
2.0,7,13.413799
-18.0,7,13.423861
-24.0,7,13.433548
-16.0,7,13.443159
-20.0,7,13.452833
-15.0,7,13.462475
1.0,7,13.472276
-11.0,7,13.481929
-11.0,7,13.491437
3.0,7,13.501107
-3.0,7,13.512702
17.0,7,13.522339
44.0,7,13.531963
41.0,7,13.541481
13.0,7,13.551111
-4.0,7,13.560725
1.0,7,13.570351
-21.0,7,13.579835
8.0,7,13.589424
20.0,7,13.598955
28.0,7,13.608488
-20.0,7,13.620246
0.0,7,13.6304
27.0,7,13.640065
21.0,7,13.649702
-16.0,7,13.65934
19.0,7,13.668964
21.0,7,13.67842
-11.0,7,13.688085
13.0,7,13.697632
1.0,7,13.707136
-19.0,7,13.718818
-12.0,7,13.728434
-2.0,7,13.737931
-21.0,7,13.747441
-3.0,7,13.757082
-14.0,7,13.766635
23.0,7,13.776225
5.0,7,13.785763
0.0,7,13.795316
-21.0,7,13.804822
43.0,7,13.816744
6.0,7,13.826611
41.0,7,13.836243
-3.0,7,13.845845
5.0,7,13.855465
-16.0,7,13.86509
-5.0,7,13.874702
3.0,7,13.885117
21.0,7,13.894972
5.0,7,13.904867
-1.0,7,13.914456
30.0,7,13.926912
27.0,7,13.936472
18.0,7,13.946101
2.0,7,13.955706
-20.0,7,13.965303
-22.0,7,13.974898
-18.0,7,13.984484
1.0,7,13.994107
-16.0,7,14.003852
14.0,7,14.013519
-11.0,7,14.025313
2.0,7,14.034995
-1.0,7,14.044621
-10.0,7,14.054294
10.0,7,14.063946
-6.0,7,14.073565
1.0,7,14.08317
-4.0,7,14.092815
-4.0,7,14.102414
47.0,7,14.112027
-5.0,7,14.123726
-5.0,7,14.133358
22.0,7,14.142978
-2.0,7,14.152588
15.0,7,14.162206
-3.0,7,14.171829
-20.0,7,14.18145
1.0,7,14.191121
5.0,7,14.200743
-3.0,7,14.210194
39.0,7,14.219812
-22.0,7,14.231584
2.0,7,14.241251
18.0,7,14.250875
6.0,7,14.260474
3.0,7,14.270151
18.0,7,14.279787
18.0,7,14.289461
22.0,7,14.299056
-15.0,7,14.308578
-17.0,7,14.318284
23.0,7,14.330055
57.0,7,14.339733
1.0,7,14.349334
-2.0,7,14.358938
-2.0,7,14.368701
-1.0,7,14.37837
5.0,7,14.387884
-12.0,7,14.397515
-17.0,7,14.407167
-3.0,7,14.416783
10.0,7,14.426369
-17.0,7,14.438164
23.0,7,14.44783
7.0,7,14.457437
-18.0,7,14.467173
-16.0,7,14.476787
23.0,7,14.486438
24.0,7,14.496194
28.0,7,14.50593
19.0,7,14.515585
17.0,7,14.525299
22.0,7,14.537161
-22.0,7,14.546746
1.0,7,14.55634
-22.0,7,14.566007
-16.0,7,14.575624
17.0,7,14.585206
28.0,7,14.594829
-5.0,7,14.60432
15.0,7,14.613949
21.0,7,14.623499
44.0,7,14.635253
-3.0,7,14.644885
-21.0,7,14.654482
6.0,7,14.663955
-16.0,7,14.67351
2.0,7,14.683036
-17.0,7,14.692668
0.0,7,14.702248
-11.0,7,14.711728
15.0,7,14.721324
-6.0,7,14.731966
0.0,7,14.744541
-4.0,7,14.754219
-20.0,7,14.763825
6.0,7,14.773384
23.0,7,14.782924
6.0,7,14.792496
-5.0,7,14.802072
2.0,7,14.811719
27.0,7,14.821335
25.0,7,14.831001
-24.0,7,14.843029
0.0,7,14.852605
